INDEX,OFFSET_HEX,LENGTH,TYPE,ENCODING,TEXT,HEX_BYTES
000,0x00518370,30,DEF,FF7,Do you want to quit,24 4F 00 59 4F 55 00 57 41 4E 54 00 54 4F 00 51 55 49 54 FF 00 00 00 00 00 00 00 00 00 00
001,0x0051838E,30,DEF,FF7,playing Final Fantasy VII,50 4C 41 59 49 4E 47 00 26 49 4E 41 4C 00 26 41 4E 54 41 53 59 00 36 29 29 FF 00 00 00 00
002,0x005183AC,30,DEF,FF7,and return to Windows?,41 4E 44 00 52 45 54 55 52 4E 00 54 4F 00 37 49 4E 44 4F 57 53 1F FF 00 00 00 00 00 00 00
003,0x005183D0,4,DEF,FF7,Yes,39 45 53 FF
004,0x005183D4,4,DEF,FF7,No,2E 4F FF 00
005,0x005188A8,48,DEF,FF7,Window color,37 49 4E 44 4F 57 00 43 4F 4C 4F 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
006,0x005188D8,48,DEF,FF7,Sound,33 4F 55 4E 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
007,0x00518908,48,DEF,FF7,Controller,23 4F 4E 54 52 4F 4C 4C 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
008,0x00518938,48,DEF,FF7,Cursor,23 55 52 53 4F 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
009,0x00518968,48,DEF,FF7,ATB,21 34 22 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
010,0x00518998,48,DEF,FF7,Battle speed,22 41 54 54 4C 45 00 53 50 45 45 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
011,0x005189C8,48,DEF,FF7,Battle message,22 41 54 54 4C 45 00 4D 45 53 53 41 47 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
012,0x005189F8,48,DEF,FF7,Field message,26 49 45 4C 44 00 4D 45 53 53 41 47 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
013,0x00518A28,48,DEF,FF7,Camera angle,23 41 4D 45 52 41 00 41 4E 47 4C 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
014,0x00518A58,48,DEF,FF7,Select,33 45 4C 45 43 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
015,0x00518A88,48,DEF,FF7,Cancel,23 41 4E 43 45 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
016,0x00518AB8,48,DEF,FF7,Menu,2D 45 4E 55 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
017,0x00518C08,48,DEF,FF7,Normal,2E 4F 52 4D 41 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
