# FF7 Virtual Address Mapping for HEXT Patching
# Generated: 2026-01-02 20:49:47 JST
# Session: 93c10c47-4dd6-41a6-aa90-73c6b0def3b1
#
# Virtual Address Calculation:
# VA = (FileOffset - 0x3B8A00) + 0x3BA000 + 0x400000
#
# Format: INDEX | FILE_OFFSET | VIRTUAL_ADDRESS | LENGTH | TYPE
# ================================================================================

000 | 0x00518370 | 0x00919970 |  30 | DEF
001 | 0x0051838E | 0x0091998E |  30 | DEF
002 | 0x005183AC | 0x009199AC |  30 | DEF
003 | 0x005183D0 | 0x009199D0 |   4 | DEF
004 | 0x005183D4 | 0x009199D4 |   4 | DEF
005 | 0x005188A8 | 0x00919EA8 |  48 | DEF
006 | 0x005188D8 | 0x00919ED8 |  48 | DEF
007 | 0x00518908 | 0x00919F08 |  48 | DEF
008 | 0x00518938 | 0x00919F38 |  48 | DEF
009 | 0x00518968 | 0x00919F68 |  48 | DEF
010 | 0x00518998 | 0x00919F98 |  48 | DEF
011 | 0x005189C8 | 0x00919FC8 |  48 | DEF
012 | 0x005189F8 | 0x00919FF8 |  48 | DEF
013 | 0x00518A28 | 0x0091A028 |  48 | DEF
014 | 0x00518A58 | 0x0091A058 |  48 | DEF
015 | 0x00518A88 | 0x0091A088 |  48 | DEF
016 | 0x00518AB8 | 0x0091A0B8 |  48 | DEF
017 | 0x00518C08 | 0x0091A208 |  48 | DEF
018 | 0x00518C38 | 0x0091A238 |  48 | DEF
019 | 0x00518C68 | 0x0091A268 |  48 | DEF
020 | 0x00518C98 | 0x0091A298 |  48 | DEF
021 | 0x00518CC8 | 0x0091A2C8 |  48 | DEF
022 | 0x00518CF8 | 0x0091A2F8 |  48 | DEF
023 | 0x00518D28 | 0x0091A328 |  48 | DEF
024 | 0x00518D58 | 0x0091A358 |  48 | DEF
025 | 0x00518D88 | 0x0091A388 |  48 | DEF
026 | 0x00518DE8 | 0x0091A3E8 |  48 | DEF
027 | 0x00518E18 | 0x0091A418 |  48 | DEF
028 | 0x00518ED8 | 0x0091A4D8 |  48 | DEF
029 | 0x00518F08 | 0x0091A508 |  48 | DEF
030 | 0x00518F38 | 0x0091A538 |  48 | DEF
031 | 0x00518F68 | 0x0091A568 |  48 | DEF
032 | 0x00518FC8 | 0x0091A5C8 |  48 | DEF
033 | 0x00519238 | 0x0091A838 |   6 | NOFF_TERM
034 | 0x0051923E | 0x0091A83E |   6 | NOFF_TERM
035 | 0x00519244 | 0x0091A844 |   6 | NOFF_TERM
036 | 0x00519288 | 0x0091A888 |  25 | DEF
037 | 0x005192A1 | 0x0091A8A1 |  25 | DEF
038 | 0x005192C0 | 0x0091A8C0 |  20 | DEF
039 | 0x005192D4 | 0x0091A8D4 |  20 | DEF
040 | 0x005192E8 | 0x0091A8E8 |  20 | DEF
041 | 0x005192FC | 0x0091A8FC |  20 | DEF
042 | 0x00519310 | 0x0091A910 |  20 | DEF
043 | 0x00519324 | 0x0091A924 |  20 | DEF
044 | 0x00519338 | 0x0091A938 |  20 | DEF
045 | 0x0051934C | 0x0091A94C |  20 | DEF
046 | 0x00519360 | 0x0091A960 |  20 | DEF
047 | 0x00519374 | 0x0091A974 |  20 | DEF
048 | 0x00519388 | 0x0091A988 |  20 | DEF
049 | 0x0051939C | 0x0091A99C |  20 | DEF
050 | 0x005193D8 | 0x0091A9D8 |  20 | DEF
051 | 0x005193EC | 0x0091A9EC |  20 | DEF
052 | 0x00519400 | 0x0091AA00 |  20 | DEF
053 | 0x00519414 | 0x0091AA14 |  20 | DEF
054 | 0x00519428 | 0x0091AA28 |  20 | DEF
055 | 0x00519450 | 0x0091AA50 |  20 | DEF
056 | 0x00519464 | 0x0091AA64 |  20 | DEF
057 | 0x00519478 | 0x0091AA78 |  20 | DEF
058 | 0x005196B0 | 0x0091ACB0 |  50 | DEF
059 | 0x005196E2 | 0x0091ACE2 |  50 | DEF
060 | 0x00519714 | 0x0091AD14 |  50 | DEF
