index,steam_en_offset,steam_en_va,estore_en_offset,estore_de_offset,en_text,de_text,de_bytes_hex,confidence,method,delta,length,type
0,0x518370,0x52F970,0x518F70,0x58FBB8,Du [59]u[55] [57]gtz zu w[55]oz,Sok Fotgr ,3349450026494E414C00FF000000000000000000000026414E5441535900,MEDIUM,regional_delta,0x76C48,30,DEF
1,0x51838E,0x52F98E,0x518F8E,0x58FBD6,vrg[59]otm Fotgr Fgtzgy[59] VII,VII [56]kxrgyykt [55]tj,362929005645524C415353454E00554E44FF000000005A550037494E444F,MEDIUM,regional_delta,0x76C48,30,DEF
2,0x5183AC,0x52F9AC,0x518FAC,0x58FBF4,gtj xkz[55]xt zu Wotju[57]y[1F],[57]y [5A][55]x[7F]iqqknxkt[1F],5753005A55527F434B4B454852454E1FFF00000000000000000000002A41,MEDIUM,regional_delta,0x76C48,30,DEF
3,0x5183D0,0x52F9D0,0x518FD0,0x58FC18,Yky,t,4EFF0000,MEDIUM,regional_delta,0x76C48,4,DEF
4,0x5183D4,0x52F9D4,0x518FD4,0x58EC4C,Nu,[70],70FFFFFF,LOW,nearby_search,0x75C78,4,DEF
5,0x5188A8,0x52FEA8,0x5194A8,0x5900F0,Wotju[57] iurux,Fktyzkxlgxhk,26454E535445524641524245FF0000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
6,0x5188D8,0x52FED8,0x5194D8,0x590126,Su[55]tj,Su[55]tj,334F554E44FF000000000000000000000000000000000000000000000000,HIGH,exact_match,0x76C4E,48,DEF
7,0x518908,0x52FF08,0x519508,0x590150,Cutzxurrkx,            Kutzxurrkx,0000000000000000000000002B4F4E54524F4C4C4552FF00000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
8,0x518938,0x52FF38,0x519538,0x590192,C[55]xyux,C[55]xyux,235552534F52FF0000000000000000000000000000000000000000000000,HIGH,exact_match,0x76C5A,48,DEF
9,0x518968,0x52FF68,0x519568,0x5901C8,ATB,ATB,213422FF0000000000000000000000000000000000000000000000000000,HIGH,exact_match,0x76C60,48,DEF
10,0x518998,0x52FF98,0x519598,0x5901E0,Bgzzrk yvkkj,                              Kgsvlzksvu,000000000000000000000000000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
11,0x5189C8,0x52FFC8,0x5195C8,0x58F210,Bgzzrk skyygmk,[10]   [20][FE],1000000020FEFFFF00000000A800000000000000A9000000D0FEFFFF0800,LOW,nearby_search,0x75C48,48,DEF
12,0x5189F8,0x52FFF8,0x5195F8,0x590240,Fokrj skyygmk,,FF0000000000000000000000000000000000000000000000000000000000,MEDIUM,regional_delta,0x76C48,48,DEF
