# FF7 German Clean String Candidates
# Source: /mnt/d/Games/Stand-alone/FINAL FANTASY VII/ff7_de.exe
# Region: 0x58FB00 - 0x5A0000
# Total candidates: 256
# Format: [INDEX] OFFSET | TEXT
================================================================================

[   0] 0x58FBE8 | zu Windows zurückkehren?
[   1] 0x58FC13 | Nein
[   2] 0x590B7C | Pause
[   3] 0x590BC9 | Ton- und Musikeinstellung
[   4] 0x590C68 | Objekt
[   5] 0x590D63 | Verwendung
[   6] 0x590D77 | Zeit
[   7] 0x590DB3 | Limit-Stufe
[   8] 0x590DC8 | Anleitung
[   9] 0x590FEB | !  cy         !   "   $   %   &   '   (   t   start@of@menu@systemAAA*    end@of@menu@systemAAA*  Mit [ABBRECHEN] beenden.
[  10] 0x594ACD | Z° ^X° OX° OX° p° OX° OX° OX° nV°
[  11] 0x594AF1 | Z° ^X° OX° OX° p° OX° ët° és° äu° OX° OX° OX° rX° ]° i° j° o° d° g° ol° YX° w° YX° D[° cX° YX° YX° {r° YX° YX° YX° V° D[° cX° YX° YX° {r° YX° t° òs° u° YX° YX° YX° Z° $d° j° k° p° f° i° 4n° TX° TX° TX° \° hX° TX° TX° âs° TX° TX° TX° JX° \° hX° TX° TX° âs° TX° åu° Üt° <w° TX° TX° TX°
[  12] 0x594C41 | Pause
[  13] 0x594CB3 | Gift
[  14] 0x594CBF | Traurigkeit
[  15] 0x594CD4 | Zorn
[  16] 0x594CDB | Verwirrung
[  17] 0x594CEF | Stummheit
[  18] 0x594CFC | Schnell
[  19] 0x594D08 | Langsam
[  20] 0x594D16 | Stop
[  21] 0x594D62 | regen
[  22] 0x594D99 | Doppel
[  23] 0x594DA1 | Schild
[  24] 0x594DD7 | Einzigartig
[  25] 0x594DEC | Lähmung
[  26] 0x594DF6 | Dunkelheit
[  27] 0x594EA4 | Gil
[  28] 0x594EA8 | Nach
[  29] 0x594EAD | Gil auf der Hand
[  30] 0x595080 | Ja     Nein
