index,de_offset,de_text,en_text,category
0,"0x0058FBAF","Möchten Sie Final Fantasy VII verlassen und zu Windows zurückkehren?","Do you want to quit playing Final Fantasy VII and return to Windows?","dialog"
3,"0x0058FC05","Ja","Yes","dialog"
4,"0x0058FC13","Nein","No","dialog"
5,"0x005900EE","Fensterfarbe","Window color","config"
6,"0x005900FD","Sound","Sound","config"
7,"0x0059012C","Kontroller","Controller","config"
8,"0x00590167","Cursor","Cursor","config"
9,"0x00590199","ATB","ATB","config"
10,"0x005901CC","Kampftempo","Battle speed","config"
11,"0x00590209","Kampfmeldung","Battle message","config"
12,"0x00590241","Feldmeldung","Field message","config"
13,"0x00590276","Kamerawinkel","Camera angle","config"
14,"0x005902AD","Auswählen","Select","ui"
15,"0x005902E0","Abbrechen","Cancel","ui"
16,"0x00590316","Menü","Menu","ui"
24,"0x00590607","Auto","Auto","battle"
25,"0x0059063B","Fest","Fixed","battle"
29,"0x005907F2","Heilung","restore","status"
30,"0x00590824","Angriff","attack","status"
31,"0x0059085A","Indirekt","indirect","status"
38,"0x00590C68","Objekt","Item","menu"
39,"0x00590C6F","Zauber","Magic","menu"
40,"0x00590C83","Materia","Materia","menu"
41,"0x00590C98","Ausrüsten","Equip","menu"
44,"0x00590CD2","Limit","Limit","menu"
45,"0x00590CE6","Konfig","Config","menu"
46,"0x00590CFB","PHS","PHS","menu"
47,"0x00590D0C","Speichern","Save","menu"
48,"0x00590D26","Verlassen","Quit","menu"
49,"0x00590D3A","Anfänger","Beginner","difficulty"
50,"0x00590D77","Zeit","Time","display"
51,"0x00590D85","Gil","Gil","currency"
58,"0x00591058","Mit [ABBRECHEN] beenden.","Press [CANCEL] to end.","input"
59,"0x005910A4","[O.K.] um die Tastenbelegung zu konfigurieren.","Press [OK] to configure a key.","input"
60,"0x005910F1","Bitte neue Taste drücken","Now press the new key.","input"
61,"0x00591126","[O.K.]","[OK]","button"
62,"0x00591159","[ABBRECHEN]","[CANCEL]","button"
63,"0x00591190","[MENÜ]","[MENU]","button"
64,"0x005911D2","[UMSCHALTEN]","[SWITCH]","button"
65,"0x00591238","[BILD HOCH]","[PAGEUP]","button"
66,"0x00591274","[BILD HERUNTER]","[PAGEDOWN]","button"
67,"0x005912B0","[KAMERA]","[CAMERA]","button"
68,"0x005912EC","[ZIEL]","[TARGET]","button"
69,"0x00591328","[HILFE]","[ASSIST]","button"
70,"0x00591364","[START]","[START]","button"
71,"0x005913A0","[HERAUF]","[UP]","direction"
72,"0x005913DC","[UNTEN]","[DOWN]","direction"
73,"0x00591418","[LINKS]","[LEFT]","direction"
74,"0x00591454","[RECHT]","[RIGHT]","direction"
75,"0x00591490","TASTATUR","KEYBOARD","device"
76,"0x005914CC","JOYSTICK","JOYSTICK","device"
