index,offset,region,text
0,0x58FBB0,Quit Dialog,"Möchten Sie Final"
1,0x58FBC3,Quit Dialog,"Fantasy VII verlassen und"
2,0x58FBE8,Quit Dialog,"zu Windows zurückkehren?"
3,0x58FC05,Quit Dialog,"Ja"
4,0x58FC13,Quit Dialog,"Nein"
5,0x5900F0,Config Menu,"Fensterfarbe"
6,0x5900FD,Config Menu,"Sound"
7,0x59012C,Config Menu,"Kontroller"
8,0x590167,Config Menu,"Cursor"
9,0x590199,Config Menu,"ATB"
10,0x5901CC,Config Menu,"Kampftempo"
11,0x590209,Config Menu,"Kampfmeldung"
12,0x590241,Config Menu,"Feldmeldung"
13,0x590276,Config Menu,"Kamerawinkel"
14,0x5902AD,Config Menu,"Auswählen"
15,0x5902E0,Config Menu,"Abbrechen"
16,0x590316,Config Menu,"Menü"
17,0x590347,Config Menu,"Fenster AUS"
18,0x590384,Config Menu,"Pause"
19,0x5903B4,Config Menu,"Schlachthilfe"
20,0x5903F2,Config Menu,"Mono"
21,0x59041F,Config Menu,"Stereo"
22,0x590457,Config Menu,"Breit"
23,0x59048C,Config Menu,"Normal"
24,0x5904C3,Config Menu,"Benutzerdefiniert"
25,0x590504,Config Menu,"Anfang"
26,0x59052F,Config Menu,"Speicher"
27,0x590567,Config Menu,"Aktiv"
28,0x59059A,Config Menu,"Empfohlen"
29,0x5905D4,Config Menu,"Warten"
30,0x590607,Config Menu,"Auto"
31,0x59063B,Config Menu,"Fest"
32,0x5906A3,Config Menu,"Langs."
33,0x5906DF,Config Menu,"Schn."
34,0x590714,Config Menu,"ROT"
35,0x590748,Config Menu,"GRÜN"
36,0x59077F,Config Menu,"BLAU"
37,0x5907B5,Config Menu,"Zauberfolge"
38,0x5907F2,Config Menu,"Heilung"
39,0x590824,Config Menu,"Angriff"
40,0x59085A,Config Menu,"Indirekt"
41,0x590891,Config Menu,"Verboten"
42,0x5908C7,Config Menu,"Typ"
43,0x5908F8,Config Menu,"links2"
44,0x590931,Config Menu,"rechts2"
45,0x590968,Config Menu,"links1"
46,0x59099D,Config Menu,"rechts1"
47,0x5909D4,Config Menu,"Menü"
48,0x590A07,Config Menu,"Auswählen"
49,0x590A42,Config Menu,"Abbrechen"
50,0x590A78,Config Menu,"EXT"
51,0x590AA8,Config Menu,"Hilfe"
52,0x590AE0,Config Menu,"Zum Einrichten START drücken."
53,0x590B30,Config Menu,"Zum Beenden Richtungstaste Links oder Rechts drücken."
54,0x590B7C,Config Menu,"Pause"
55,0x590BC9,Config Menu,"Ton- und Musikeinstellung"
56,0x590C68,Main Menu,"Objekt"
57,0x590C6F,Main Menu,"Zauber"
58,0x590C83,Main Menu,"Materia"
59,0x590C98,Main Menu,"Ausrüsten"
60,0x590CAE,Main Menu,"Werte"
61,0x590CBE,Main Menu,"Reihe"
62,0x590CD2,Main Menu,"Limit"
63,0x590CE6,Main Menu,"Konfig"
64,0x590CFB,Main Menu,"PHS"
65,0x590D0C,Main Menu,"Speichern"
66,0x590D26,Main Menu,"Verlassen"
67,0x590D3A,Main Menu,"Anfänger"
68,0x590D4D,Main Menu,"Verwendung"
69,0x590D63,Main Menu,"Verwendung"
70,0x590D77,Main Menu,"Zeit"
71,0x590D85,Main Menu,"Gil"
72,0x590D98,Main Menu,"Nächst. Lv"
73,0x590DB3,Main Menu,"Limit-Stufe"
