# FF7 German Strings by touphScript Index
# Generated: 2026-01-03 13:22:02 JST
# Session: 8bc98f0a-abab-49e6-acdd-56dd38e9d149
# Source: /mnt/d/Games/Stand-alone/FINAL FANTASY VII/ff7_de.exe
# Base Delta: 0x77840
# Total strings: 758
#
# Format: [INDEX] [DE_OFFSET] [LENGTH] [TYPE] | DECODED_DE_TEXT | RAW_HEX_BYTES
# ====================================================================================================

[000] 0x0058FBB0  30 DEF        | Möchten Sie Final  | 2D 7A 43 48 54 45 4E 00 33 49 45 00 26 49 4E 41 4C 00 FF 00 00 00 00 00 00 00 00 00 00 00
[001] 0x0058FBCE  30 DEF        | Fantasy VII verlassen und | 26 41 4E 54 41 53 59 00 36 29 29 00 56 45 52 4C 41 53 53 45 4E 00 55 4E 44 FF 00 00 00 00
[002] 0x0058FBEC  30 DEF        | zu Windows zurückkehren[1F] | 5A 55 00 37 49 4E 44 4F 57 53 00 5A 55 52 7F 43 4B 4B 45 48 52 45 4E 1F FF 00 00 00 00 00
[003] 0x0058FC10   4 DEF        | Ja | 2A 41 FF 00
[004] 0x0058FC14   4 DEF        |  Nei | 00 2E 45 49
[005] 0x005900E8  48 DEF        | N  Fensterfarbe | 65 72 2E 74 69 6D 00 00 26 45 4E 53 54 45 52 46 41 52 42 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[006] 0x00590118  48 DEF        |               Sound | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 33 4F 55 4E 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[007] 0x00590148  48 DEF        |                     Kontroller | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2B 4F 4E 54 52 4F 4C 4C 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[008] 0x00590178  48 DEF        |                           Cursor | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 23 55 52 53 4F 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[009] 0x005901A8  48 DEF        |                                 ATB | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 21 34 22 FF 00 00 00 00 00 00 00 00 00 00 00 00
[010] 0x005901D8  48 DEF        |                                       Kampftempo | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2B 41 4D 50 46 54 45 4D 50 4F
[011] 0x00590208  48 DEF        |  | FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2B 41 4D 50
[012] 0x00590238  48 DEF        | fmeldung | 46 4D 45 4C 44 55 4E 47 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[013] 0x00590268  48 DEF        |   Feldmeldung | 00 00 26 45 4C 44 4D 45 4C 44 55 4E 47 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[014] 0x00590298  48 DEF        |         Kamerawinkel | 00 00 00 00 00 00 00 00 2B 41 4D 45 52 41 57 49 4E 4B 45 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[015] 0x005902C8  48 DEF        |               Auswählen | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 21 55 53 57 6A 48 4C 45 4E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[016] 0x005902F8  48 DEF        |                     Abbrechen | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 21 42 42 52 45 43 48 45 4E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[017] 0x00590448  48 DEF        |         Stereo | 00 00 00 00 00 00 00 00 33 54 45 52 45 4F FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
