# German Strings - Clean Offsets (Text Start, No Empties)
# Source: /mnt/d/Games/Stand-alone/FINAL FANTASY VII/ff7_de.exe
# Region: 0x58FBB0 - 0x5A0000
# Total: 895 non-empty strings
# Offset points to where TEXT starts (after padding)
# Format: [INDEX] OFFSET (PAD_BYTES) | TEXT
================================================================================

[    0] 0x58FBB0 (no pad) | Möchten Sie Final
[    1] 0x58FBCE (pad: 11) | Fantasy VII verlassen und
[    2] 0x58FBEC (pad:  4) | zu Windows zurückkehren?
[    3] 0x58FC10 (pad: 11) | Ja
[    4] 0x58FC15 (pad:  2) | Nein
[    5] 0x0059006C (cleaned) | Fensterfarbe
[    6] 0x590126 (pad: 41) | Sound
[    7] 0x59015C (pad: 48) | Kontroller
[    8] 0x590192 (pad: 43) | Cursor
[    9] 0x5901C8 (pad: 47) | ATB
[   10] 0x5901FE (pad: 50) | Kampftempo
[   11] 0x590234 (pad: 43) | Kampfmeldung
[   12] 0x59026A (pad: 41) | Feldmeldung
[   13] 0x5902A0 (pad: 42) | Kamerawinkel
[   14] 0x5902D6 (pad: 41) | Auswählen
[   15] 0x59030C (pad: 44) | Abbrechen
[   16] 0x590342 (pad: 44) | Menü
[   17] 0x590378 (pad: 49) | Fenster AUS
[   18] 0x5903AE (pad: 42) | Pause
[   19] 0x5903E4 (pad: 48) | Schlachthilfe
[   20] 0x59041A (pad: 40) | Mono
[   21] 0x590450 (pad: 49) | Stereo
[   22] 0x590486 (pad: 47) | Breit
[   23] 0x5904BC (pad: 48) | Normal
[   24] 0x5904F2 (pad: 47) | Benutzerdefiniert
[   25] 0x590528 (pad: 36) | Anfang
[   26] 0x59055E (pad: 47) | Speicher
[   27] 0x590594 (pad: 45) | Aktiv
[   28] 0x5905CA (pad: 48) | Empfohlen
[   29] 0x590600 (pad: 44) | Warten
[   30] 0x590636 (pad: 47) | Auto
[   31] 0x59066C (pad: 49) | Fest
[   32] 0x5906D8 (pad: 53) | Langs.
[   33] 0x59070E (pad: 47) | Schn.
[   34] 0x590744 (pad: 48) | ROT
[   35] 0x59077A (pad: 50) | GRÜN
[   36] 0x5907B0 (pad: 49) | BLAU
[   37] 0x5907E6 (pad: 49) | Zauberfolge
[   38] 0x59081C (pad: 42) | Heilung
[   39] 0x590852 (pad: 46) | Angriff
[   40] 0x590888 (pad: 46) | Indirekt
[   41] 0x5908BE (pad: 45) | Verboten
[   42] 0x5908F4 (pad: 45) | Typ
[   43] 0x59092A (pad: 50) | links2
[   44] 0x590960 (pad: 47) | rechts2
[   45] 0x590996 (pad: 46) | links1
[   46] 0x5909CC (pad: 47) | rechts1
[   47] 0x590A02 (pad: 46) | Menü
[   48] 0x590A38 (pad: 49) | Auswählen
[   49] 0x590A6E (pad: 44) | Abbrechen
[   50] 0x590AA4 (pad: 44) | EXT
[   51] 0x590ADA (pad: 50) | Hilfe
[   52] 0x590B10 (pad: 48) | Zum Einrichten START drücken.
[   53] 0x590B46 (pad: 22) | Zum Beenden Richtungstaste Links oder Rechts drücken.
[   54] 0x590B7C (no pad) | Pause
[   55] 0x590BD0 (pad:  7) | Ton- und Musikeinstellung
[   56] 0x590BFD (pad: 19) | Nicht unterstützt
[   57] 0x590C34 (pad: 37) | "S   S "!    `!:   : `!  !" "!!" ! "" !"!
[   58] 0x590C68 (no pad) | Objekt
[   59] 0x590C7C (pad: 13) | Zauber
[   60] 0x590C90 (pad: 13) | Materia
[   61] 0x590CA4 (pad: 12) | Ausrüsten
[   62] 0x590CB8 (pad: 10) | Werte
[   63] 0x590CCC (pad: 14) | Reihe
[   64] 0x590CE0 (pad: 14) | Limit
[   65] 0x590CF4 (pad: 14) | Konfig
[   66] 0x590D08 (pad: 13) | PHS
[   67] 0x590D1C (pad: 16) | Speichern
[   68] 0x590D30 (pad: 10) | Verlassen
[   69] 0x590D44 (pad: 10) | Anfänger
[   70] 0x590D58 (pad: 11) | Verwendung
[   71] 0x590D6C (pad:  9) | Verwendung
[   72] 0x590D80 (pad:  9) | Zeit
[   73] 0x590D94 (pad: 15) | Gil
[   74] 0x590DA8 (pad: 16) | Nächst. Lv
[   75] 0x590DBC (pad:  9) | Limit-Stufe
[   76] 0x590DD0 (pad:  8) | Anleitung
[   77] 0x590DE4 (pad: 10) | Unter
[   78] 0x590DF8 (pad: 14) | LV+1
[   79] 0x590E0C (pad: 15) | Zorn
[   80] 0x590E20 (pad: 15) | Traurigk.
[   81] 0x590E34 (pad: 10) | !         n`=>ABCeKD@FGHtJfg<$_uva)?snPRSVXY[\]p/0%U^MZoh!"#y*+2,-.345671:8(W9&';`klmxEILNOQTbcdijqrwz{     !"#$%&'()*+ 0         `  `   !        ñp ñ ñ@ ñ<m b!ö  o - p£  £ £ õ £ £ £ £ £ b!ö - b!ö b!ö b!ö b!ö b!ö     n u#ö j o - £ Ü£ :£ õ £ £ £ £ u#ö u#ö - u#ö u#ö u#ö u#ö u#ö     )%($*     "" !"""##$$     0.  x"  \   *   !   "      é
[   82] 0x00591052 (cleaned) | Mit [ABBRECHEN] beenden.
[   83] 0x591094 (pad: 35) | Drücken Sie auf [O.K.] um die
[   84] 0x5910D0 (pad: 30) | Tastenbelegung zu konfigurieren.
[   85] 0x59110C (pad: 27) | Bitte neue Taste drücken
[   86] 0x591148 (pad: 34) | [O.K.]
[   87] 0x591184 (pad: 53) | [ABBRECHEN]
[   88] 0x5911C0 (pad: 48) | [MENÜ]
[   89] 0x5911FC (pad: 53) | [UMSCHALTEN]
[   90] 0x591238 (pad: 47) | [BILD HOCH]
[   91] 0x591274 (pad: 48) | [BILD HERUNTER]
[   92] 0x5912B0 (pad: 44) | [KAMERA]
[   93] 0x5912EC (pad: 51) | [ZIEL]
[   94] 0x591328 (pad: 53) | [HILFE]
[   95] 0x591364 (pad: 52) | [START]
[   96] 0x5913A0 (pad: 52) | [HERAUF]
[   97] 0x5913DC (pad: 51) | [UNTEN]
[   98] 0x591418 (pad: 52) | [LINKS]
[   99] 0x591454 (pad: 52) | [RECHT]
[  100] 0x591490 (pad: 52) | TASTATUR
[  101] 0x5914CC (pad: 51) | JOYSTICK
