# FF7 English Strings by touphScript Index
# Generated: 2026-01-02 20:49:47 JST
# Session: 93c10c47-4dd6-41a6-aa90-73c6b0def3b1
# Source: /mnt/c/Program Files (x86)/Steam/steamapps/common/FINAL FANTASY VII/ff7_en.exe
# Total strings: 767
#
# Format: [INDEX] [OFFSET_HEX] [LENGTH] [TYPE] | DECODED_EN_TEXT | RAW_HEX_BYTES
# ====================================================================================================

[000] 0x00518370  30 DEF        | Do you want to quit | 24 4F 00 59 4F 55 00 57 41 4E 54 00 54 4F 00 51 55 49 54 FF 00 00 00 00 00 00 00 00 00 00
[001] 0x0051838E  30 DEF        | playing Final Fantasy VII | 50 4C 41 59 49 4E 47 00 26 49 4E 41 4C 00 26 41 4E 54 41 53 59 00 36 29 29 FF 00 00 00 00
[002] 0x005183AC  30 DEF        | and return to Windows? | 41 4E 44 00 52 45 54 55 52 4E 00 54 4F 00 37 49 4E 44 4F 57 53 1F FF 00 00 00 00 00 00 00
[003] 0x005183D0   4 DEF        | Yes | 39 45 53 FF
[004] 0x005183D4   4 DEF        | No | 2E 4F FF 00
[005] 0x005188A8  48 DEF        | Window color | 37 49 4E 44 4F 57 00 43 4F 4C 4F 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[006] 0x005188D8  48 DEF        | Sound | 33 4F 55 4E 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[007] 0x00518908  48 DEF        | Controller | 23 4F 4E 54 52 4F 4C 4C 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[008] 0x00518938  48 DEF        | Cursor | 23 55 52 53 4F 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[009] 0x00518968  48 DEF        | ATB | 21 34 22 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[010] 0x00518998  48 DEF        | Battle speed | 22 41 54 54 4C 45 00 53 50 45 45 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[011] 0x005189C8  48 DEF        | Battle message | 22 41 54 54 4C 45 00 4D 45 53 53 41 47 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[012] 0x005189F8  48 DEF        | Field message | 26 49 45 4C 44 00 4D 45 53 53 41 47 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
