# FF7 German String Mappings - FINAL CLEAN
# Format: english_index,german_offset,german_text,english_text
# Total: 208 mappings
#
0,0x0058FBB0,Möchten Sie Final,Do you want to quit
3,0x0058FC05,Ja,0x005183D0
4,0x0058FC14,Nein,No
5,0x5D8AA8,Fensterfarbe,Window color
6,0x5B9E50,Sound,Sound
7,0x5D8B08,Regler,Controller
8,0x5D8B38,Cursor,Cursor
9,0x5D1F19,ATB,ATB
11,0x5D8BC8,Kampfnachricht,Battle message
12,0x5D8BF8,Feldnachricht,Field message
13,0x5D8C28,Kamerawinkel,Camera angle
17,0x5D8D08,Normal,Normal
18,0x5D8D38,Anpassen,Customize
19,0x5D8D68,Ausgangswert,Initial
20,0x5D8D98,Speicher,Memory
21,0x5D8DC8,Aktiv,Active
22,0x5D8DF8,Empfohlen,Recommended
23,0x5D8E28,Warten,Wait
24,0x5D8E58,Automatisch,Auto
25,0x5D8E88,Fixiert,Fixed
26,0x5D8EE8,Langsam,Slow
27,0x5D8F18,Schnell,Fast
28,0x589441,Zauberfolge,Magic order
29,0x589465,Wiederherstellen,restore
30,0x589485,Angriff,attack
31,0x5894A5,Indirekt,indirect
32,0x5D2088,No.,No.
40,0x5D9098,Materia,Materia
41,0x5D90AC,Ausrüsten,Equip
43,0x5D90D4,Grenze,Limit
44,0x5D90E8,Einstellung,Config
45,0x5CDC86,Konfiguration,Config
46,0x5D9110,Speichern,Save
49,0x00590D3A,Anfänger,Beginner
50,0x00590D77,Zeit,Time
51,0x00590D85,Gil,0x005193EC
58,0x00591058,Mit [ABBRECHEN] beenden.,Press [CANCEL] to end.
59,0x005910A4,[O.K.] um die Tastenbelegung zu konfigurieren.,Press [OK] to configure a key.
60,0x005910F1,Bitte neue Taste drücken,Now press the new key.
61,0x5DA476,[OK],[OK]
62,0x5DA4A8,[ABBRECHEN],[CANCEL]
63,0x5DA4DA,[MENÜ],[MENU]
64,0x5DA50C,[WECHSEL],[SWITCH]
65,0x5DA53E,[SEITEAUF],[PAGEUP]
66,0x5DA570,[SEITEAB],[PAGEDOWN]
67,0x5DA5A2,[KAMERA],[CAMERA]
68,0x5DA5D4,[ZIEL],[TARGET]
69,0x5DA606,[HILFE],[ASSIST]
70,0x5DA638,[START],[START]
71,0x5DA66A,[AUF],[UP]
72,0x5DA69C,[AB],[DOWN]
73,0x5DA6CE,[LINKS],[LEFT]
74,0x5DA700,[RECHTS],[RIGHT]
75,0x5DA732,TASTATUR,KEYBOARD
76,0x5DA764,JOYSTICK,JOYSTICK
214,0x594C41,Pause,Pause
215,0x594CA0,Schlaf,Sleep
216,0x594CB3,Gift,Poison
217,0x594CBF,Traurigkeit,Sadness
218,0x594CD4,Zorn,Fury
219,0x594CDB,Verwirrung,Confusion
220,0x594CEF,Stummheit,Silence
221,0x594CFC,Schnell,Haste
222,0x594D08,Langsam,Slow
223,0x594D16,Stop,Stop
224,0x594D48,Versteinerung,Petrify
225,0x594D62,regen,Regen
226,0x594D80,Reflektieren,Reflect
227,0x594D99,Doppel,Shield
228,0x594DA1,Schild,Berserk
232,0x594E44,Wieviel willst du ausgeben?,How much will you raise?
233,0x5998F1,Gil,Gil
234,0x594EA8,Nach,After
235,0x594EAD,Gil auf der Hand,Gil on hand
236,0x595080,Weiter?,Keep goin'?
238,0x5950B8,Vorhandene Schlachtpunkte,Current Battle Points
239,0x5950CB,Schlitzstart!,Slot start!
240,0x5950F7,TOLL!!,GREAT!!
242,0x595130,Zaubersubstanz kaputt.,Magic Materia is broken.
243,0x59514F,Aufrufsubstanz kaputt.,Summon Materia is broken.
244,0x59516F,Support-Substanz kaputt.,Support Materia is broken.
245,0x595193,Unabhängige Substanz kaputt.,Independent Materia is broken.
246,0x5951AD,Befehlssubstanz kaputt.,Command Materia is broken.
247,0x5951CA,Alle Substanz kaputt.,All Materia is broken.
248,0x5951E3,Zubehör kaputt.,Accessory is broken.
249,0x59520F,Objektbefehl ist versiegelt.,Item command is sealed.
250,0x595222,Rüstzeug kaputt.,Armor is broken.
251,0x59523E,Waffe kaputt.,Weapon is broken.
252,0x595264,1/2 Geschwindigkeit.,1/2 speed.
253,0x59527F,1/2 Genauigkeit.,1/2 accuracy.
254,0x595295,Minimum,Minimum
255,0x5952B1,Gift,Poison
256,0x5952D1,Kröte,Toad
257,0x5952FC,Zeit x30 Schaden.,Time x30 damage.
258,0x59531A,5 Ebenen zurück.,Down 5 levels.
259,0x59533A,10 Ebenen zurück.,Down 10 levels.
260,0x59534F,1/2 HP.,1/2 HP.
261,0x59536E,1/2 MP.,1/2 MP.
262,0x595390,1/2 HP&MP.,1/2 HP&MP.
263,0x5953AD,Null MP.,Zero MP.
264,0x5953DC,Jaa! Keine Behinderung!!,Yesss! No handicapp!
265,0x5953F8,HP wiederhergestellt.,HP restored.
266,0x595423,Besorgt um die anderen Mitglieder?,Worried about the other members?
268,0x59547A,Eigentlich nicht,Not really
270,0x5DE61B,Reform,Reform
