# FF7 German Strings - Indexed by touphScript Order
# Generated: 2026-01-02 21:47:39 JST
# Session: 8bc98f0a-abab-49e6-acdd-56dd38e9d149
# Total: 758 strings
#
# Format: [INDEX] EN_OFFSET | EN_TEXT | DE_TEXT | DE_HEX
# ====================================================================================================

[000] 0x00518370 | Do you want to quit                      | Sie Final                                | 33 49 45 00 26 49 4E 41 4C 00 FF 00 00 00 00 00 00 00 00 00 00 00 26 41 4E 54 41 53 59 00
[001] 0x0051838E | playing Final Fantasy VII                | VII verlassen und                        | 36 29 29 00 56 45 52 4C 41 53 53 45 4E 00 55 4E 44 FF 00 00 00 00 5A 55 00 37 49 4E 44 4F
[002] 0x005183AC | and return to Windows?                   | ws zurückkehren?                         | 57 53 00 5A 55 52 7F 43 4B 4B 45 48 52 45 4E 1F FF 00 00 00 00 00 00 00 00 00 00 00 2A 41
[003] 0x005183D0 | Yes                                      | n                                        | 4E FF 00 00
[004] 0x005183D4 | No                                       |                                          | 00 00 00 00
[005] 0x005188A8 | Window color                             | Fensterfarbe                             | 26 45 4E 53 54 45 52 46 41 52 42 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[006] 0x005188D8 | Sound                                    |       Sound                              | 00 00 00 00 00 00 33 4F 55 4E 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[007] 0x00518908 | Controller                               |             Kontroller                   | 00 00 00 00 00 00 00 00 00 00 00 00 2B 4F 4E 54 52 4F 4C 4C 45 52 FF 00 00 00 00 00 00 00
[008] 0x00518938 | Cursor                                   |                   Cursor                 | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 23 55 52 53 4F 52 FF 00 00 00 00 00
[009] 0x00518968 | ATB                                      |                         ATB              | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 21 34 22 FF 00 00
[010] 0x00518998 | Battle speed                             |                               Kampftempo | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[011] 0x005189C8 | Battle message                           |                                     Kamp | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[012] 0x005189F8 | Field message                            |                                          | FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[013] 0x00518A28 | Camera angle                             | ldung                                    | 4C 44 55 4E 47 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[014] 0x00518A58 | Select                                   | Kamerawinkel                             | 2B 41 4D 45 52 41 57 49 4E 4B 45 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[015] 0x00518A88 | Cancel                                   |       Auswählen                          | 00 00 00 00 00 00 21 55 53 57 6A 48 4C 45 4E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[016] 0x00518AB8 | Menu                                     |             Abbrechen                    | 00 00 00 00 00 00 00 00 00 00 00 00 21 42 42 52 45 43 48 45 4E FF 00 00 00 00 00 00 00 00
[017] 0x00518C08 | Normal                                   | Stereo                                   | 33 54 45 52 45 4F FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[018] 0x00518C38 | Customize                                |       Breit                              | 00 00 00 00 00 00 22 52 45 49 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[019] 0x00518C68 | Initial                                  |             Normal                       | 00 00 00 00 00 00 00 00 00 00 00 00 2E 4F 52 4D 41 4C FF 00 00 00 00 00 00 00 00 00 00 00
[020] 0x00518C98 | Memory                                   |                   Benutzerdefiniert      | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 22 45 4E 55 54 5A 45 52 44 45 46 49
[021] 0x00518CC8 | Active                                   |                         Anfang           | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 21 4E 46 41 4E 47
[022] 0x00518CF8 | Recommended                              |                               Speicher   | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[023] 0x00518D28 | Wait                                     |                                     Akti | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[024] 0x00518D58 | Auto                                     |                                          | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[025] 0x00518D88 | Fixed                                    | len                                      | 4C 45 4E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[026] 0x00518DE8 | Slow                                     |       Auto                               | 00 00 00 00 00 00 21 55 54 4F FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[027] 0x00518E18 | Fast                                     |             Fest                         | 00 00 00 00 00 00 00 00 00 00 00 00 26 45 53 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00
[028] 0x00518ED8 | Magic order                              |                                     ROT  | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[029] 0x00518F08 | restore                                  |                                          | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[030] 0x00518F38 | attack                                   |                                          | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[031] 0x00518F68 | indirect                                 | BLAU                                     | 22 2C 21 35 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[032] 0x00518FC8 | No.                                      |             Heilung                      | 00 00 00 00 00 00 00 00 00 00 00 00 28 45 49 4C 55 4E 47 FF 00 00 00 00 00 00 00 00 00 00
[033] 0x00519238 | [C5][B8][B7]                             |                                          | 00 00 00 00 00 00
[034] 0x0051923E | [BA][C5][B8][B8][C1]                     |                                          | 00 00 00 00 00 00
[035] 0x00519244 | [B5][BF][C8][B8]                         |                                          | 00 00 00 00 00 00
[036] 0x00519288 | Set Sound & Music Volume                 |           Hilfe                          | 00 00 00 00 00 00 00 00 00 00 28 49 4C 46 45 FF 00 00 00 00 00 00 00 00 00
[037] 0x005192A1 | Not supported.                           |                                          | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[038] 0x005192C0 | Item                                     |         Zum Einricht                     | 00 00 00 00 00 00 00 00 3A 55 4D 00 25 49 4E 52 49 43 48 54
[039] 0x005192D4 | Magic                                    | en [B2]START[B3] drücken.                | 45 4E 00 B2 33 34 21 32 34 B3 00 44 52 7F 43 4B 45 4E 0E FF
[040] 0x005192E8 | Materia                                  |                                          | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[041] 0x005192FC | Equip                                    |   Zum Beenden Richtu                     | 00 00 3A 55 4D 00 22 45 45 4E 44 45 4E 00 32 49 43 48 54 55
[042] 0x00519310 | Status                                   | ngstaste Links oder                      | 4E 47 53 54 41 53 54 45 00 2C 49 4E 4B 53 00 4F 44 45 52 00
[043] 0x00519324 | Order                                    | Rechts drücken.                          | 32 45 43 48 54 53 00 44 52 7F 43 4B 45 4E 0E FF 30 41 55 53
[044] 0x00519338 | Limit                                    | e                                        | 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[045] 0x0051934C | Config                                   |                                          | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[046] 0x00519360 | PHS                                      |                 [C5][B8][B7]             | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C5 B8 B7 FF
[047] 0x00519374 | Save                                     |   [BA][C5][B8][B8][C1]                   | 00 00 BA C5 B8 B8 C1 FF B5 BF C8 B8 FF 00 00 00 00 00 00 00
[048] 0x00519388 | Quit                                     | Ton- und Musikeinste                     | 34 4F 4E 0D 00 55 4E 44 00 2D 55 53 49 4B 45 49 4E 53 54 45
[049] 0x0051939C | Beginner                                 | llung                                    | 4C 4C 55 4E 47 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[050] 0x005193D8 | Time                                     |                                          | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[051] 0x005193EC | Gil                                      | Ü"S   S Ü"[AD]!    `!:                   | 80 02 33 00 00 00 33 00 80 02 AD 01 00 00 00 00 40 01 1A 00
[052] 0x00519400 | next level                               |   : `![D6]  !" "!!" ! "                  | 00 00 1A 00 40 01 D6 00 00 01 02 00 02 01 01 02 00 01 00 02
[053] 0x00519414 | Limit level                              | " !"!                                    | 02 00 01 02 01 00 00 00 FF FF FF FF 2F 42 4A 45 4B 54 FF 00
[054] 0x00519428 | Tutorial                                 |             Zauber                       | 00 00 00 00 00 00 00 00 00 00 00 00 3A 41 55 42 45 52 FF 00
[055] 0x00519450 | LEVEL UP                                 |             Ausrüste                     | 00 00 00 00 00 00 00 00 00 00 00 00 21 55 53 52 7F 53 54 45
[056] 0x00519464 | Fury                                     | n                                        | 4E FF 00 00 00 00 00 00 00 00 00 00 37 45 52 54 45 FF 00 00
[057] 0x00519478 | Sadness                                  |             Reihe                        | 00 00 00 00 00 00 00 00 00 00 00 00 32 45 49 48 45 FF 00 00
