index,func_ptr,func_rva,dispatch_key,key_hex,ffnx_hook_name
0,0x7ff628dbb9e0,0x4b9e0,4198424,0x401018,
1,0x7ff628dbba60,0x4ba60,4198952,0x401228,
2,0x7ff628dbc9f0,0x4c9f0,4199130,0x4012da,
3,0x7ff628dbd020,0x4d020,4199282,0x401372,
4,0x7ff628dbd2e0,0x4d2e0,4199458,0x401422,
5,0x7ff628dbd600,0x4d600,4199680,0x401500,
6,0x7ff628dbdc60,0x4dc60,4200014,0x40164e,
7,0x7ff628dbe560,0x4e560,4200464,0x401810,
8,0x7ff628dbead0,0x4ead0,4202811,0x40213b,
9,0x7ff628dc1650,0x51650,4202985,0x4021e9,
10,0x7ff628dc1910,0x51910,4203512,0x4023f8,
11,0x7ff628dc2420,0x52420,4204244,0x4026d4,
12,0x7ff628dc31c0,0x531c0,4205970,0x402d92,
13,0x7ff628dc5340,0x55340,4206301,0x402edd,
14,0x7ff628dc6040,0x56040,4206306,0x402ee2,
15,0x7ff628dc6040,0x56040,4206320,0x402ef0,
16,0x7ff628dc6060,0x56060,4206707,0x403073,
17,0x7ff628dc6b50,0x56b50,4207551,0x4033bf,
18,0x7ff628dc7f80,0x57f80,4208395,0x40370b,
19,0x7ff628dc93b0,0x593b0,4211018,0x40414a,
20,0x7ff628dcda70,0x5da70,4212360,0x404688,
21,0x7ff628dcf570,0x5f570,4212588,0x40476c,
22,0x7ff628dcf7e0,0x5f7e0,4212726,0x4047f6,
23,0x7ff628dcfa40,0x5fa40,4213363,0x404a73,
24,0x7ff628dc6040,0x56040,4213368,0x404a78,
25,0x7ff628dc6040,0x56040,4213373,0x404a7d,
26,0x7ff628dd0750,0x60750,4213578,0x404b4a,
27,0x7ff628dd0db0,0x60db0,4214144,0x404d80,
28,0x7ff628dd1a50,0x61a50,4214272,0x404e00,
29,0x7ff628dd1db0,0x61db0,4214659,0x404f83,
30,0x7ff628dd28a0,0x628a0,4215496,0x4052c8,
31,0x7ff628dd3cc0,0x63cc0,4216333,0x40560d,
32,0x7ff628dd50e0,0x650e0,4219089,0x4060d1,
33,0x7ff628dda360,0x6a360,4219751,0x406367,
34,0x7ff628ddb150,0x6b150,4219958,0x406436,
35,0x7ff628ddb350,0x6b350,4220119,0x4064d7,
36,0x7ff628ddb400,0x6b400,4220784,0x406770,
37,0x7ff628ddc170,0x6c170,4220823,0x406797,
38,0x7ff628dc6040,0x56040,4220832,0x4067a0,
39,0x7ff628ddc290,0x6c290,4220973,0x40682d,
40,0x7ff628ddc610,0x6c610,4221437,0x4069fd,
41,0x7ff628ddd300,0x6d300,4222224,0x406d10,
42,0x7ff628ddde70,0x6de70,4223991,0x4073f7,
43,0x7ff628de1690,0x71690,4224218,0x4074da,
44,0x7ff628de1af0,0x71af0,4224432,0x4075b0,
45,0x7ff628de20d0,0x720d0,4224746,0x4076ea,
46,0x7ff628de2970,0x72970,4224756,0x4076f4,
47,0x7ff628de29f0,0x729f0,4224766,0x4076fe,
