texture,index,character,unicode
jafont_1,0,バ,U+30D0
jafont_1,1,ば,U+3070
jafont_1,2,ビ,U+30D3
jafont_1,3,び,U+3073
jafont_1,4,ブ,U+30D6
jafont_1,5,ぶ,U+3076
jafont_1,6,ベ,U+30D9
jafont_1,7,べ,U+3079
jafont_1,8,ボ,U+30DC
jafont_1,9,ぼ,U+307C
jafont_1,10,ガ,U+30AC
jafont_1,11,が,U+304C
jafont_1,12,ギ,U+30AE
jafont_1,13,ぎ,U+304E
jafont_1,14,グ,U+30B0
jafont_1,15,ぐ,U+3050
jafont_1,16,ゲ,U+30B2
jafont_1,17,げ,U+3052
jafont_1,18,ゴ,U+30B4
jafont_1,19,ご,U+3054
jafont_1,20,ザ,U+30B6
jafont_1,21,ざ,U+3056
jafont_1,22,ジ,U+30B8
jafont_1,23,じ,U+3058
jafont_1,24,ズ,U+30BA
jafont_1,25,ず,U+305A
jafont_1,26,ゼ,U+30BC
jafont_1,27,ぜ,U+305C
jafont_1,28,ゾ,U+30BE
jafont_1,29,ぞ,U+305E
jafont_1,30,ダ,U+30C0
jafont_1,31,だ,U+3060
jafont_1,32,ヂ,U+30C2
jafont_1,33,ぢ,U+3062
jafont_1,34,ヅ,U+30C5
jafont_1,35,づ,U+3065
jafont_1,36,デ,U+30C7
jafont_1,37,で,U+3067
jafont_1,38,ド,U+30C9
jafont_1,39,ど,U+3069
jafont_1,40,ヴ,U+30F4
jafont_1,41,パ,U+30D1
jafont_1,42,ぱ,U+3071
jafont_1,43,ピ,U+30D4
jafont_1,44,ぴ,U+3074
jafont_1,45,プ,U+30D7
jafont_1,46,ぷ,U+3077
jafont_1,47,ペ,U+30DA
jafont_1,48,ぺ,U+307A
jafont_1,49,ポ,U+30DD
jafont_1,50,ぽ,U+307D
jafont_1,51,０,U+FF10
jafont_1,52,１,U+FF11
jafont_1,53,２,U+FF12
jafont_1,54,３,U+FF13
jafont_1,55,４,U+FF14
jafont_1,56,５,U+FF15
jafont_1,57,６,U+FF16
jafont_1,58,７,U+FF17
jafont_1,59,８,U+FF18
jafont_1,60,９,U+FF19
jafont_1,61,、,U+3001
jafont_1,62,。,U+3002
jafont_1,63,　,U+3000
jafont_1,64,ハ,U+30CF
jafont_1,65,は,U+306F
jafont_1,66,ヒ,U+30D2
jafont_1,67,ひ,U+3072
jafont_1,68,フ,U+30D5
jafont_1,69,ふ,U+3075
jafont_1,70,ヘ,U+30D8
jafont_1,71,へ,U+3078
jafont_1,72,ホ,U+30DB
jafont_1,73,ほ,U+307B
jafont_1,74,カ,U+30AB
jafont_1,75,か,U+304B
jafont_1,76,キ,U+30AD
jafont_1,77,き,U+304D
jafont_1,78,ク,U+30AF
jafont_1,79,く,U+304F
jafont_1,80,ケ,U+30B1
jafont_1,81,け,U+3051
jafont_1,82,コ,U+30B3
jafont_1,83,こ,U+3053
jafont_1,84,サ,U+30B5
jafont_1,85,さ,U+3055
jafont_1,86,シ,U+30B7
jafont_1,87,し,U+3057
jafont_1,88,ス,U+30B9
jafont_1,89,す,U+3059
jafont_1,90,セ,U+30BB
jafont_1,91,せ,U+305B
jafont_1,92,ソ,U+30BD
jafont_1,93,そ,U+305D
jafont_1,94,タ,U+30BF
jafont_1,95,た,U+305F
jafont_1,96,チ,U+30C1
jafont_1,97,ち,U+3061
jafont_1,98,ツ,U+30C4
jafont_1,99,つ,U+3064
jafont_1,100,テ,U+30C6
jafont_1,101,て,U+3066
jafont_1,102,ト,U+30C8
jafont_1,103,と,U+3068
jafont_1,104,ウ,U+30A6
jafont_1,105,う,U+3046
jafont_1,106,ア,U+30A2
jafont_1,107,あ,U+3042
jafont_1,108,イ,U+30A4
jafont_1,109,い,U+3044
jafont_1,110,エ,U+30A8
jafont_1,111,え,U+3048
jafont_1,112,オ,U+30AA
jafont_1,113,お,U+304A
jafont_1,114,ナ,U+30CA
jafont_1,115,な,U+306A
jafont_1,116,ニ,U+30CB
jafont_1,117,に,U+306B
jafont_1,118,ヌ,U+30CC
jafont_1,119,ぬ,U+306C
jafont_1,120,ネ,U+30CD
jafont_1,121,ね,U+306D
jafont_1,122,ノ,U+30CE
jafont_1,123,の,U+306E
jafont_1,124,マ,U+30DE
jafont_1,125,ま,U+307E
jafont_1,126,ミ,U+30DF
jafont_1,127,み,U+307F
jafont_1,128,ム,U+30E0
jafont_1,129,む,U+3080
jafont_1,130,メ,U+30E1
jafont_1,131,め,U+3081
jafont_1,132,モ,U+30E2
jafont_1,133,も,U+3082
jafont_1,134,ラ,U+30E9
jafont_1,135,ら,U+3089
jafont_1,136,リ,U+30EA
