index,steam_offset,estore_en_offset,estore_de_offset,delta,match_type,en_text,de_text,en_bytes_hex
0,0x518370,0x518F70,,,not_found,Do you want to quit,,244F00594F550057414E5400544F0051
1,0x51838E,0x518F8E,,,not_found,playing Final Fantasy VII,,504C4159494E470026494E414C002641
2,0x5183AC,0x518FAC,,,not_found,and return to Windows?,,414E440052455455524E00544F003749
3,0x5183D0,0x518FD0,,,not_found,Yes,,394553FF
4,0x5183D4,0x518FD4,,,not_found,No,,2E4FFF00
5,0x5188A8,0x5194A8,,,not_found,Window color,,37494E444F5700434F4C4F52FF000000
6,0x5188D8,0x5194D8,0x590126,486478,exact,Sound,Sound,334F554E44FF00000000000000000000
7,0x518908,0x519508,,,not_found,Controller,,234F4E54524F4C4C4552FF0000000000
8,0x518938,0x519538,0x590192,486490,exact,Cursor,Cursor,235552534F52FF000000000000000000
9,0x518968,0x519568,0x5901C8,486496,exact,ATB,ATB,213422FF000000000000000000000000
10,0x518998,0x519598,,,not_found,Battle speed,,224154544C45005350454544FF000000
11,0x5189C8,0x5195C8,,,not_found,Battle message,,224154544C45004D455353414745FF00
12,0x5189F8,0x5195F8,,,not_found,Field message,,2649454C44004D455353414745FF0000
13,0x518A28,0x519628,,,not_found,Camera angle,,23414D45524100414E474C45FF000000
14,0x518A58,0x519658,,,not_found,Select,,33454C454354FF000000000000000000
15,0x518A88,0x519688,,,not_found,Cancel,,23414E43454CFF000000000000000000
16,0x518AB8,0x5196B8,,,not_found,Menu,,2D454E55FF0000000000000000000000
17,0x518C08,0x519808,0x5904BC,486580,multi(3),Normal,Normal,2E4F524D414CFF000000000000000000
18,0x518C38,0x519838,,,not_found,Customize,,235553544F4D495A45FF000000000000
19,0x518C68,0x519868,,,not_found,Initial,,294E495449414CFF0000000000000000
20,0x518C98,0x519898,,,not_found,Memory,,2D454D4F5259FF000000000000000000
21,0x518CC8,0x5198C8,,,not_found,Active,,214354495645FF000000000000000000
22,0x518CF8,0x5198F8,,,not_found,Recommended,,3245434F4D4D454E444544FF00000000
23,0x518D28,0x519928,,,not_found,Wait,,37414954FF0000000000000000000000
24,0x518D58,0x519958,0x590636,486622,exact,Auto,Auto,2155544FFF0000000000000000000000
25,0x518D88,0x519988,,,not_found,Fixed,,2649584544FF00000000000000000000
26,0x518DE8,0x5199E8,,,not_found,Slow,,334C4F57FF0000000000000000000000
27,0x518E18,0x519A18,,,not_found,Fast,,26415354FF0000000000000000000000
28,0x518ED8,0x519AD8,,,not_found,Magic order,,2D41474943004F52444552FF00000000
29,0x518F08,0x519B08,,,not_found,restore,,524553544F5245FF0000000000000000
30,0x518F38,0x519B38,,,not_found,attack,,41545441434BFF000000000000000000
31,0x518F68,0x519B68,,,not_found,indirect,,494E444952454354FF00000000000000
32,0x518FC8,0x519BC8,,,not_found,No.,,2E4F0EFF000000000000000000000000
33,0x519238,0x519E38,0x590BB8,486784,exact,[C5][B8][B7],[C5][B8][B7],C5B8B7FF0000
34,0x51923E,0x519E3E,0x590BBE,486784,exact,[BA][C5][B8][B8][C1],[BA][C5][B8][B8][C1],BAC5B8B8C1FF
35,0x519244,0x519E44,0x590BC4,486784,exact,[B5][BF][C8][B8],[B5][BF][C8][B8],B5BFC8B8FF00
36,0x519288,0x519E88,,,not_found,Set Sound & Music Volume,,33455400334F554E440006002D555349
37,0x5192A1,0x519EA1,,,not_found,Not supported.,,2E4F5400535550504F525445440EFF00
38,0x5192C0,0x519EC0,,,not_found,Item,,2954454DFF0000000000000000000000
39,0x5192D4,0x519ED4,,,not_found,Magic,,2D41474943FF00000000000000000000
40,0x5192E8,0x519EE8,0x590C90,486824,multi(3),Materia,Materia,2D415445524941FF0000000000000000
41,0x5192FC,0x519EFC,,,not_found,Equip,,2551554950FF00000000000000000000
42,0x519310,0x519F10,,,not_found,Status,,335441545553FF000000000000000000
43,0x519324,0x519F24,,,not_found,Order,,2F52444552FF00000000000000000000
44,0x519338,0x519F38,0x590CE0,486824,exact,Limit,Limit,2C494D4954FF00000000000000000000
45,0x51934C,0x519F4C,,,not_found,Config,,234F4E464947FF000000000000000000
46,0x519360,0x519F60,0x590D08,486824,exact,PHS,PHS,302833FF000000000000000000000000
47,0x519374,0x519F74,,,not_found,Save,,33415645FF0000000000000000000000
48,0x519388,0x519F88,,,not_found,Quit,,31554954FF0000000000000000000000
49,0x51939C,0x519F9C,,,not_found,Beginner,,224547494E4E4552FF00000000000000
50,0x5193D8,0x519FD8,,,not_found,Time,,34494D45FF0000000000000000000000
51,0x5193EC,0x519FEC,0x590D94,486824,multi(4),Gil,Gil,27494CFF000000000000000000000000
52,0x519400,0x51A000,,,not_found,next level,,4E455854004C4556454CFF0000000000
53,0x519414,0x51A014,,,not_found,Limit level,,2C494D4954004C4556454CFF00000000
54,0x519428,0x51A028,,,not_found,Tutorial,,3455544F5249414CFF00000000000000
55,0x519450,0x51A050,,,not_found,LEVEL UP,,2C2536252C003530FF00000000000000
56,0x519464,0x51A064,,,not_found,Fury,,26555259FF0000000000000000000000
57,0x519478,0x51A078,,,not_found,Sadness,,3341444E455353FF0000000000000000
58,0x5196B0,0x51A2B0,,,not_found,Press [CANCEL] to end.,,3052455353003B23212E23252C3D0054
59,0x5196E2,0x51A2E2,,,not_found,Press [OK] to configure a key.,,3052455353003B2F2B3D00544F00434F
60,0x519714,0x51A314,,,not_found,Now press the new key.,,2E4F5700505245535300544845004E45
61,0x519746,0x51A346,,,not_found,[OK],,3B2F2B3DFF0000000000000000000000
62,0x519778,0x51A378,,,not_found,[CANCEL],,3B23212E23252C3DFF00000000000000
63,0x5197AA,0x51A3AA,,,not_found,[MENU],,3B2D252E353DFF000000000000000000
64,0x5197DC,0x51A3DC,,,not_found,[SWITCH],,3B3337293423283DFF00000000000000
65,0x51980E,0x51A40E,,,not_found,[PAGEUP],,3B3021272535303DFF00000000000000
66,0x519840,0x51A440,,,not_found,[PAGEDOWN],,3B30212725242F372E3DFF0000000000
67,0x519872,0x51A472,,,not_found,[CAMERA],,3B23212D2532213DFF00000000000000
68,0x5198A4,0x51A4A4,,,not_found,[TARGET],,3B3421322725343DFF00000000000000
69,0x5198D6,0x51A4D6,,,not_found,[ASSIST],,3B2133332933343DFF00000000000000
70,0x519908,0x51A508,0x591364,487004,exact,[START],[START],3B33342132343DFF0000000000000000
71,0x51993A,0x51A53A,,,not_found,[UP],,3B35303DFF0000000000000000000000
72,0x51996C,0x51A56C,,,not_found,[DOWN],,3B242F372E3DFF000000000000000000
73,0x51999E,0x51A59E,,,not_found,[LEFT],,3B2C2526343DFF000000000000000000
74,0x5199D0,0x51A5D0,,,not_found,[RIGHT],,3B32292728343DFF0000000000000000
75,0x519A02,0x51A602,,,not_found,KEYBOARD,,2B2539222F213224FF00000000000000
76,0x519A34,0x51A634,0x5914CC,487064,exact,JOYSTICK,JOYSTICK,2A2F39333429232BFF00000000000000
77,0x519FE0,0x51ABE0,,,not_found,escape,,4553434150450000
78,0x519FE8,0x51ABE8,0x517964,-12932,multi(38),Q,Q,31000000
79,0x519FEC,0x51ABEC,0x50E92F,-49853,multi(70),R,R,32000000
80,0x519FF0,0x51ABF0,0x51797C,-12916,multi(48),S,S,33000000
81,0x519FF4,0x51ABF4,0x50815C,-76440,multi(49),T,T,34000000
82,0x519FF8,0x51ABF8,0x53A4BC,129220,multi(41),U,U,35000000
83,0x519FFC,0x51ABFC,0x504F54,-89256,multi(33),V,V,36000000
84,0x51A000,0x51AC00,0x53A4E0,129248,multi(25),W,W,37000000
85,0x51A004,0x51AC04,0x519478,-6028,multi(65),X,X,38000000
86,0x51A008,0x51AC08,0x504F60,-89256,multi(53),Y,Y,39000000
87,0x51A00C,0x51AC0C,0x51961A,-5618,multi(108),P,P,30000000
88,0x51A010,0x51AC10,0x591B80,487280,multi(2),minus,minus,4D494E5553000000
89,0x51A018,0x51AC18,0x591E12,487930,exact,equals,equals,455155414C530000
90,0x51A020,0x51AC20,,,not_found,back@space,,4241434B2053504143450000
91,0x51A02C,0x51AC2C,0x591AC8,487068,exact,tab,tab,54414200
92,0x51A030,0x51AC30,0x52D2AF,75391,multi(16),q,q,51000000
93,0x51A034,0x51AC34,0x50DDFC,-52792,multi(25),w,w,57000000
94,0x51A038,0x51AC38,0x500EAC,-105868,multi(54),e,e,45000000
95,0x51A03C,0x51AC3C,0x50C27F,-59837,multi(36),r,r,52000000
96,0x51A040,0x51AC40,0x50C074,-60364,multi(76),t,t,54000000
97,0x51A044,0x51AC44,0x50DB83,-53441,multi(30),y,y,59000000
98,0x51A048,0x51AC48,0x52D2F7,75439,multi(32),u,u,55000000
99,0x51A04C,0x51AC4C,0x52A0DC,62608,multi(29),i,i,49000000
100,0x51A050,0x51AC50,0x50E6F3,-50525,multi(24),o,o,4F000000
101,0x51A054,0x51AC54,0x506360,-84212,multi(94),p,p,50000000
102,0x51A058,0x51AC58,,,not_found,left@bracket,,4C45465420425241434B455400000000
103,0x51A068,0x51AC68,,,not_found,right@bracket,,524947485420425241434B4554000000
104,0x51A078,0x51AC78,,,not_found,return,,52455455524E0000
105,0x51A080,0x51AC80,,,not_found,left@control,,4C45465420434F4E54524F4C00000000
106,0x51A090,0x51AC90,0x504F84,-89356,multi(202),a,a,41000000
107,0x51A094,0x51AC94,0x50CDE4,-57008,multi(40),s,s,53000000
108,0x51A098,0x51AC98,0x504F30,-89448,multi(91),d,d,44000000
109,0x51A09C,0x51AC9C,0x5075F7,-79525,multi(71),f,f,46000000
110,0x51A0A0,0x51ACA0,0x53A77C,129756,multi(13),g,g,47000000
111,0x51A0A4,0x51ACA4,0x50DCD4,-53200,multi(37),h,h,48000000
112,0x51A0A8,0x51ACA8,0x52A0F0,62536,multi(26),j,j,4A000000
113,0x51A0AC,0x51ACAC,0x50600B,-85153,multi(25),k,k,4B000000
114,0x51A0B0,0x51ACB0,0x50E04C,-52324,multi(30),l,l,4C000000
