index,offset,text,hex_bytes,byte_length,text_length,type_info
0,0x00518370,Do you want to quit,24 4F 00 59 4F 55 00 57 41 4E 54 00 54 4F 00 51 55 49 54 FF 00 00 00 00 00 00 00 00 00 00,30,19,DEF
1,0x0051838E,playing Final Fantasy VII,50 4C 41 59 49 4E 47 00 26 49 4E 41 4C 00 26 41 4E 54 41 53 59 00 36 29 29 FF 00 00 00 00,30,25,DEF
2,0x005183AC,and return to Windows?,41 4E 44 00 52 45 54 55 52 4E 00 54 4F 00 37 49 4E 44 4F 57 53 1F FF 00 00 00 00 00 00 00,30,22,DEF
3,0x005183D0,Yes,39 45 53 FF,4,3,DEF
4,0x005183D4,No,2E 4F FF 00,4,2,DEF
5,0x005188A8,Window color,37 49 4E 44 4F 57 00 43 4F 4C 4F 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,12,DEF
6,0x005188D8,Sound,33 4F 55 4E 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,5,DEF
7,0x00518908,Controller,23 4F 4E 54 52 4F 4C 4C 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,10,DEF
8,0x00518938,Cursor,23 55 52 53 4F 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,6,DEF
9,0x00518968,ATB,21 34 22 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,3,DEF
10,0x00518998,Battle speed,22 41 54 54 4C 45 00 53 50 45 45 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,12,DEF
11,0x005189C8,Battle message,22 41 54 54 4C 45 00 4D 45 53 53 41 47 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,14,DEF
12,0x005189F8,Field message,26 49 45 4C 44 00 4D 45 53 53 41 47 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,13,DEF
13,0x00518A28,Camera angle,23 41 4D 45 52 41 00 41 4E 47 4C 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,12,DEF
14,0x00518A58,Select,33 45 4C 45 43 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,6,DEF
15,0x00518A88,Cancel,23 41 4E 43 45 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,6,DEF
16,0x00518AB8,Menu,2D 45 4E 55 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,4,DEF
17,0x00518C08,Normal,2E 4F 52 4D 41 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,6,DEF
18,0x00518C38,Customize,23 55 53 54 4F 4D 49 5A 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,9,DEF
19,0x00518C68,Initial,29 4E 49 54 49 41 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,7,DEF
20,0x00518C98,Memory,2D 45 4D 4F 52 59 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,6,DEF
21,0x00518CC8,Active,21 43 54 49 56 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,6,DEF
22,0x00518CF8,Recommended,32 45 43 4F 4D 4D 45 4E 44 45 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,11,DEF
23,0x00518D28,Wait,37 41 49 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,4,DEF
24,0x00518D58,Auto,21 55 54 4F FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,4,DEF
25,0x00518D88,Fixed,26 49 58 45 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,5,DEF
26,0x00518DE8,Slow,33 4C 4F 57 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,4,DEF
27,0x00518E18,Fast,26 41 53 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,4,DEF
28,0x00518ED8,Magic order,2D 41 47 49 43 00 4F 52 44 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,11,DEF
29,0x00518F08,restore,52 45 53 54 4F 52 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,7,DEF
30,0x00518F38,attack,41 54 54 41 43 4B FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,6,DEF
31,0x00518F68,indirect,49 4E 44 49 52 45 43 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,8,DEF
32,0x00518FC8,No.,2E 4F 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,48,3,DEF
33,0x00519238,[C5][B8][B7],C5 B8 B7 FF 00 00,6,12,NOFF_TERM
34,0x0051923E,[BA][C5][B8][B8][C1],BA C5 B8 B8 C1 FF,6,20,NOFF_TERM
35,0x00519244,[B5][BF][C8][B8],B5 BF C8 B8 FF 00,6,16,NOFF_TERM
36,0x00519288,Set Sound & Music Volume,33 45 54 00 33 4F 55 4E 44 00 06 00 2D 55 53 49 43 00 36 4F 4C 55 4D 45 FF,25,24,DEF
37,0x005192A1,Not supported.,2E 4F 54 00 53 55 50 50 4F 52 54 45 44 0E FF 00 00 00 00 00 00 00 00 00 00,25,14,DEF
38,0x005192C0,Item,29 54 45 4D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,4,DEF
39,0x005192D4,Magic,2D 41 47 49 43 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,5,DEF
40,0x005192E8,Materia,2D 41 54 45 52 49 41 FF 00 00 00 00 00 00 00 00 00 00 00 00,20,7,DEF
41,0x005192FC,Equip,25 51 55 49 50 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,5,DEF
42,0x00519310,Status,33 54 41 54 55 53 FF 00 00 00 00 00 00 00 00 00 00 00 00 00,20,6,DEF
43,0x00519324,Order,2F 52 44 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,5,DEF
44,0x00519338,Limit,2C 49 4D 49 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,5,DEF
45,0x0051934C,Config,23 4F 4E 46 49 47 FF 00 00 00 00 00 00 00 00 00 00 00 00 00,20,6,DEF
46,0x00519360,PHS,30 28 33 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,3,DEF
47,0x00519374,Save,33 41 56 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,4,DEF
48,0x00519388,Quit,31 55 49 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,4,DEF
49,0x0051939C,Beginner,22 45 47 49 4E 4E 45 52 FF 00 00 00 00 00 00 00 00 00 00 00,20,8,DEF
50,0x005193D8,Time,34 49 4D 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,4,DEF
51,0x005193EC,Gil,27 49 4C FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,3,DEF
52,0x00519400,next level,4E 45 58 54 00 4C 45 56 45 4C FF 00 00 00 00 00 00 00 00 00,20,10,DEF
53,0x00519414,Limit level,2C 49 4D 49 54 00 4C 45 56 45 4C FF 00 00 00 00 00 00 00 00,20,11,DEF
54,0x00519428,Tutorial,34 55 54 4F 52 49 41 4C FF 00 00 00 00 00 00 00 00 00 00 00,20,8,DEF
55,0x00519450,LEVEL UP,2C 25 36 25 2C 00 35 30 FF 00 00 00 00 00 00 00 00 00 00 00,20,8,DEF
56,0x00519464,Fury,26 55 52 59 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,4,DEF
57,0x00519478,Sadness,33 41 44 4E 45 53 53 FF 00 00 00 00 00 00 00 00 00 00 00 00,20,7,DEF
58,0x005196B0,Press [CANCEL] to end.,30 52 45 53 53 00 3B 23 21 2E 23 25 2C 3D 00 54 4F 00 45 4E 44 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,22,DEF
59,0x005196E2,Press [OK] to configure a key.,30 52 45 53 53 00 3B 2F 2B 3D 00 54 4F 00 43 4F 4E 46 49 47 55 52 45 00 41 00 4B 45 59 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,30,DEF
60,0x00519714,Now press the new key.,2E 4F 57 00 50 52 45 53 53 00 54 48 45 00 4E 45 57 00 4B 45 59 0E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,22,DEF
61,0x00519746,[OK],3B 2F 2B 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,4,DEF
62,0x00519778,[CANCEL],3B 23 21 2E 23 25 2C 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,8,DEF
63,0x005197AA,[MENU],3B 2D 25 2E 35 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,6,DEF
64,0x005197DC,[SWITCH],3B 33 37 29 34 23 28 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,8,DEF
65,0x0051980E,[PAGEUP],3B 30 21 27 25 35 30 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,8,DEF
66,0x00519840,[PAGEDOWN],3B 30 21 27 25 24 2F 37 2E 3D FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,50,10,DEF
