# FF7 English Strings - Standardized Format
# Generated: 2026-01-06 10:45 JST (Tuesday)
# Session: c5687d3e-90a9-47e8-829a-a0c6e70cd98e
# Total strings: 767
#
# Format: [INDEX] OFFSET (BYTES:TEXT_LEN) | TEXT
# ===========================================================================

[    0] 0x00518370 (  30: 19) | Do you want to quit
[    1] 0x0051838E (  30: 25) | playing Final Fantasy VII
[    2] 0x005183AC (  30: 22) | and return to Windows?
[    3] 0x005183D0 (   4:  3) | Yes
[    4] 0x005183D4 (   4:  2) | No
[    5] 0x005188A8 (  48: 12) | Window color
[    6] 0x005188D8 (  48:  5) | Sound
[    7] 0x00518908 (  48: 10) | Controller
[    8] 0x00518938 (  48:  6) | Cursor
[    9] 0x00518968 (  48:  3) | ATB
[   10] 0x00518998 (  48: 12) | Battle speed
[   11] 0x005189C8 (  48: 14) | Battle message
[   12] 0x005189F8 (  48: 13) | Field message
[   13] 0x00518A28 (  48: 12) | Camera angle
[   14] 0x00518A58 (  48:  6) | Select
[   15] 0x00518A88 (  48:  6) | Cancel
[   16] 0x00518AB8 (  48:  4) | Menu
[   17] 0x00518C08 (  48:  6) | Normal
[   18] 0x00518C38 (  48:  9) | Customize
[   19] 0x00518C68 (  48:  7) | Initial
[   20] 0x00518C98 (  48:  6) | Memory
[   21] 0x00518CC8 (  48:  6) | Active
[   22] 0x00518CF8 (  48: 11) | Recommended
[   23] 0x00518D28 (  48:  4) | Wait
[   24] 0x00518D58 (  48:  4) | Auto
[   25] 0x00518D88 (  48:  5) | Fixed
[   26] 0x00518DE8 (  48:  4) | Slow
[   27] 0x00518E18 (  48:  4) | Fast
[   28] 0x00518ED8 (  48: 11) | Magic order
[   29] 0x00518F08 (  48:  7) | restore
[   30] 0x00518F38 (  48:  6) | attack
[   31] 0x00518F68 (  48:  8) | indirect
[   32] 0x00518FC8 (  48:  3) | No.
[   33] 0x00519238 (   6: 12) | [C5][B8][B7]
[   34] 0x0051923E (   6: 20) | [BA][C5][B8][B8][C1]
[   35] 0x00519244 (   6: 16) | [B5][BF][C8][B8]
[   36] 0x00519288 (  25: 24) | Set Sound & Music Volume
[   37] 0x005192A1 (  25: 14) | Not supported.
[   38] 0x005192C0 (  20:  4) | Item
[   39] 0x005192D4 (  20:  5) | Magic
[   40] 0x005192E8 (  20:  7) | Materia
[   41] 0x005192FC (  20:  5) | Equip
[   42] 0x00519310 (  20:  6) | Status
[   43] 0x00519324 (  20:  5) | Order
[   44] 0x00519338 (  20:  5) | Limit
[   45] 0x0051934C (  20:  6) | Config
[   46] 0x00519360 (  20:  3) | PHS
[   47] 0x00519374 (  20:  4) | Save
[   48] 0x00519388 (  20:  4) | Quit
[   49] 0x0051939C (  20:  8) | Beginner
[   50] 0x005193D8 (  20:  4) | Time
[   51] 0x005193EC (  20:  3) | Gil
[   52] 0x00519400 (  20: 10) | next level
[   53] 0x00519414 (  20: 11) | Limit level
[   54] 0x00519428 (  20:  8) | Tutorial
[   55] 0x00519450 (  20:  8) | LEVEL UP
[   56] 0x00519464 (  20:  4) | Fury
[   57] 0x00519478 (  20:  7) | Sadness
[   58] 0x005196B0 (  50: 22) | Press [CANCEL] to end.
[   59] 0x005196E2 (  50: 30) | Press [OK] to configure a key.
[   60] 0x00519714 (  50: 22) | Now press the new key.
[   61] 0x00519746 (  50:  4) | [OK]
[   62] 0x00519778 (  50:  8) | [CANCEL]
[   63] 0x005197AA (  50:  6) | [MENU]
[   64] 0x005197DC (  50:  8) | [SWITCH]
[   65] 0x0051980E (  50:  8) | [PAGEUP]
[   66] 0x00519840 (  50: 10) | [PAGEDOWN]
[   67] 0x00519872 (  50:  8) | [CAMERA]
[   68] 0x005198A4 (  50:  8) | [TARGET]
[   69] 0x005198D6 (  50:  8) | [ASSIST]
[   70] 0x00519908 (  50:  7) | [START]
[   71] 0x0051993A (  50:  4) | [UP]
[   72] 0x0051996C (  50:  6) | [DOWN]
[   73] 0x0051999E (  50:  6) | [LEFT]
