Address (Hex),Address (Dec),Primary Purpose,Categories,Min Value,Max Value,Occurrences,Example Values
0023B6B8,2340536,Syncs Barrett's animation to opening music,Bar,192,192,1,C0
009204E8,9569512,"limit menu - description box X-Axis, Y-Axis, Width, Height","Box, Height, LimitMenu, PositionX, PositionY, Width",0,116,1,00 00 74 00
00920AD0,9571024,"equip menu - description box X-Axis, Y-Axis, Width, Height","Box, EquipMenu, Height, PositionX, PositionY, Width",0,116,1,00 00 74 00
06FF211,7336465,save text X-Axis,"PositionX, SaveLoadMenu, Text",13,13,1,0D
41B4E8,4306152,screen pos - increases pheonix glitch but overall better experience,Uncategorized,0,0,1,00
41B51A,4306202,"FMV/FIELD C0, STOCK 4C, FULL SCREEN E0",Field,224,224,1,E0
41C4C0,4310208,Certain statuses like Resist are intentionally not shown in the battle menu.  To place them back:,"Battle, StatusMenu",144,144,1,90 90 90 90 90 90
5BB847,6010951,"Battle text/graphics like ""Recovery"" position","Battle, Text",21,21,1,15
5BCFD0,6016976,mini avatar support,"Avatar, Battle, Opacity",0,232,11,E8 DE 74 35 00 90 90 90 90; E8 DE 74 35 00 90 90 90 90; E8 DE 74 35 00 90 90 90 90
5BCFD7,6016983,time BA normal  00 no fade in (shrinking black area),Uncategorized,0,0,1,00
630CEB,6491371,field boxes Y-Axis negative offset 91449D to change value,"Box, Field, PositionY",0,232,1,E8 9B 37 2E 00 90 90
630EA9,6491817,field boxes viewable lines offset (refresh dialog),"Box, Field",74,201,1,4A C9 91
630EFC,6491900,field dialog text block scroll amount (refresh dialog),"Field, Text",3,3,1,03
6311FA,6492666,field boxes viewable lines offset (refresh dialog),"Box, Field",74,201,1,4A C9 91
63124D,6492749,field dialog text block scroll amount (refresh dialog),"Field, Text",3,3,1,03
631382,6493058,field cursor X-Axis,"Cursor, Field, PositionX",0,0,1,00 00
63138A,6493066,cursor spacing Y-Axis,"Cursor, PositionY, Spacing",12,192,1,6B C0 0C
63138F,6493071,field cursor Y-Axis,"Cursor, Field, PositionY",5,8,3,08; 05; 08
63191A,6494490,field box padding top/bottom 914488 to change value,"Box, Field",0,232,1,E8 5C 2B 2E 00 90 90
631B34,6495028,field boxes viewable lines offset (refresh dialog),"Box, Field",74,201,1,4A C9 91
631D27,6495527,field dialog text choices X-Axis (refresh dialog),"Field, PositionX, Text",7,8,3,08; 07; 08
632CD7,6499543,field dialog text block scroll amount (refresh dialog),"Field, Text",3,3,1,03
632CEC,6499564,field dialog text block scroll amount (refresh dialog),"Field, Text",3,3,1,03
649A4A,6593098,modified code to only work when no dialog box on screen.,Box,0,232,1,E8 B1 C5 2C 00 90 90 90 90
6C20AF,7086255,Cursor Y-Axis,"Cursor, PositionY",32,32,1,20
6C20B2,7086258,Cursor X-Axis,"Cursor, PositionX",18,18,1,12
6C20E5,7086309,ghost cursor color box Y-Axis,"Box, Color, Cursor, PositionY",32,32,1,20
6C20E8,7086312,ghost cursor color box X-Axis,"Box, Color, Cursor, PositionX",18,18,1,12
6C213E,7086398,ghost cursor sound box Y-Axis,"Box, Cursor, PositionY",32,32,1,20
6C2141,7086401,ghost cursor sound box X-Axis,"Box, Cursor, PositionX",18,18,1,12
6C216F,7086447,sound box width,"Box, Width",60,60,1,3C
6C217F,7086463,sound box Y-Axis,"Box, PositionY",60,60,1,3C
6C218C,7086476,sound box X-Axis,"Box, PositionX",6,6,1,06
6C222D,7086637,sound box top numbers Y-Axis,"Box, PositionY",8,8,1,08
6C2234,7086644,sound box top numbers X-Axis,"Box, PositionX",34,34,1,22
6C22D1,7086801,sound box bottom numbers Y-Axis,"Box, PositionY",46,46,1,2E
6C22D8,7086808,sound box bottom numbers X-Axis,"Box, PositionX",34,34,1,22
6C2326,7086886,sound box bottom icon Y-Axis,"Box, Icon, PositionY",28,28,1,1C
6C235D,7086941,sound box cursor X-Axis,"Box, Cursor, PositionX",230,230,1,E6
6C239D,7087005,window color box Y-Axis,"Box, Color, PositionY",10,10,1,0A
6C23AA,7087018,window color box X-Axis,"Box, Color, PositionX",1,6,1,06 01
6C31FF,7090687,left text block Y-Axis,"PositionY, Text",38,232,1,6B C0 28 83 E8 26
6C3226,7090726,magic order Y-Axis,"MagicMenu, PositionY",38,234,1,6B D2 28 83 EA 26
6C325F,7090783,sound and music volume Y-Axis,PositionY,0,233,1,E9 3B 07 25 00 83 C2 02
6C32AA,7090858,Normal/Customize Y-Axis,PositionY,42,42,1,2A
6C32B1,7090865,Customize X-Axis,PositionX,11,11,1,0B
6C32F8,7090936,Initial/Memory Y-Axis,PositionY,82,82,1,52
6C32FF,7090943,Memory X-Axis,PositionX,11,11,1,0B
6C3346,7091014,Auto/Fixed Y-Axis,PositionY,26,26,1,1A
6C3350,7091024,Fixed X-Axis,PositionX,11,11,1,0B
6C33B5,7091125,Active/Recommended Y-Axis,PositionY,122,122,1,7A
6C33F9,7091193,Wait Y-Axis,PositionY,122,122,1,7A
6C33FC,7091196,Wait X-Axis,PositionX,1,248,1,F8 01
6C3454,7091284,restore/indirect/attack Y-Axis,PositionY,66,66,1,42
6C345E,7091294,restore/indirect/attack spacing X-Axis,"PositionX, Spacing",72,72,1,48
6C3461,7091297,restore/indirect/attack X-Axis,PositionX,96,96,1,60
6C3481,7091329,No. Y-Axis,PositionY,66,66,1,42
6C34B3,7091379,No. digit Y-Axis,PositionY,71,71,1,47
6C34B9,7091385,No. digit X-Axis,PositionX,37,37,1,25
6C34CD,7091405,Battle speed widget X-Axis,"Battle, PositionX",0,232,1,E8 E2 04 25 00 90
6C3508,7091464,Battle message widget X-Axis,"Battle, PositionX",0,232,1,E8 A7 04 25 00 90
6C3543,7091523,Field message widget X-Axis,"Field, PositionX",0,232,1,E8 6C 04 25 00 90
6C35AC,7091628,all Fast Y-Axis,PositionY,1,2,1,01 02
6C35B0,7091632,all Fast X-Axis,PositionX,1,8,1,08 01
6C35D6,7091670,all Slow Y-Axis,PositionY,1,2,1,01 02
6C35DA,7091674,all Slow X-Axis,PositionX,1,235,1,EB 01
6C35EA,7091690,all speed bars X-Axis,"Bar, PositionX",1,54,1,36 01
6C3602,7091714,all speed bars width,"Bar, Width",0,171,1,AB 00
6C3B60,7093088,color box cursor spacing X-Axis,"Box, Color, Cursor, PositionX, Spacing",92,92,1,5C
6C3B6D,7093101,color box cursor X-Axis,"Box, Color, Cursor, PositionX",228,228,1,E4
6C3BAE,7093166,color box ghost cursor spacing X-Axis,"Box, Color, Cursor, PositionX, Spacing",92,92,1,5C
6C3BBA,7093178,color box ghost cursor X-Axis,"Box, Color, Cursor, PositionX",10,228,1,0A E4
6C3BD3,7093203,RGB box RGB letters and numbers X-Axis,"Box, PositionX",17,17,1,11
6C3C3C,7093308,RGB box 'B' Y-Axis,"Box, PositionY",52,52,1,34
6C3CBD,7093437,RGB box top numbers X-Axis,"Box, PositionX",24,24,1,18
6C3CE1,7093473,RGB box top widget X-Axis,"Box, PositionX",88,88,1,58
6C3D56,7093590,RGB box middle numbers X-Axis,"Box, PositionX",24,24,1,18
6C3D79,7093625,RGB box middle widget X-Axis,"Box, PositionX",88,88,1,58
6C3DEC,7093740,RGB box bottom numbers X-Axis,"Box, PositionX",24,24,1,18
6C3E0E,7093774,RGB box bottom widget X-Axis,"Box, PositionX",88,88,1,58
6C3E4F,7093839,RGB box all bars X-Axis,"Bar, Box, PositionX",88,88,1,58
6C3EA1,7093921,RGB box cursor Y-Axis,"Box, Cursor, PositionY",74,74,1,4A
6C3EA4,7093924,RGB box cursor X-Axis,"Box, Cursor, PositionX",231,231,1,E7
6C3EB3,7093939,RGB box width,"Box, Width",106,106,1,6A
6C3ECF,7093967,RGB box X-Axis,"Box, PositionX",6,6,1,06
