offset,name,raw_hex_prefix
0x59862E,Barret,000000000000224152524554ff
0x59863B,Tifa,000000000034494641ff
0x598645,Aeris,000000000000002145524953ff
0x598652,Red XIII,0000000000003245440038292929ff
0x598661,Yuffie,000000395546464945ff
0x59866B,Cait Sith,0000000000234149540033495448ff
0x59867A,Vincent,000036494e43454e54ff
0x598684,Cid,00000000234944ff
0x59868C,Choco,000000000000000023484f434fff
0x5986B5,Leer,0000000000000000002c454552ff
0x5986DC,Standard,3354414e44415244ff
0x5986E5,Abbrechen,0021424252454348454eff
0x59874A,Freshmake,00000000000026524553484d414b45ff
0x59875A,Square,000000000000335155415245ff
0x598767,Dfx,00000000000000000013244658ff
0x598775,Local,00000000000000000000002c4f43414cff
0x598786,Gold,00000000000000000000274f4c44ff
0x5988A1,Z!Z!V V,38010000000000000000003a013a013600360000
0x5988BC,T   R,620200003400000032000000ff
0x598900,Barret,2300000001010f0d0b09050d000000000000017a
0x598984,Tifa,0000000002010b0b0b0a070e0000000000000119
0x598A08,Aerith,0000000003010a0b0d0e050e0000000000000114
0x598A8C,Red,0000000004010a0c0b0a0a0e000000000000016a
0x598AAC,P#,3003ff
0x598AF0,E,25000000ff
0x598B10,KYuffie,000000000501000000000000000000000000012b
0x598B50,GL!,00000000272c0100ff
0x598B94,Cait Seith,0000000006010a0b0d0b050f0000000000000100
0x598BD4,J   Zx;,0e0000002a0000003a581b00ff
0x598C18,WVincent,000000000701090a0b0b050e0000000000000137
0x598C9C,Cid,0000000008010c0c0b0a060e000000000000013f
0x598DA4,Sephiroth,740000000a3255484446412e0000000000000100
0x598DE4,W,b6e3040037ff
0x598DEC,U,35ff
0x598DF0,S,33ff
0x598DF8,Q,31ff
0x598E08,R,32ff
0x598E10,T,34ff
