index,offset,text,length
0,0x58FBB0,Mochten Sie Final,17
1,0x58FBCE,Fantasy VII verlassen und,25
2,0x58FBEC,zu Windows zuruckkehren?,24
3,0x58FC10,Ja,2
4,0x58FC15,Nein,4
6,0x590126,Sound,5
7,0x59015C,Kontroller,10
8,0x590192,Cursor,6
9,0x5901C8,ATB,3
10,0x5901FE,Kampftempo,10
11,0x590234,Kampfmeldung,12
12,0x59026A,Feldmeldung,11
13,0x5902A0,Kamerawinkel,12
14,0x5902D6,Auswahlen,9
15,0x59030C,Abbrechen,9
16,0x590342,Menu,4
17,0x590378,Fenster AUS,11
18,0x5903AE,Pause,5
19,0x5903E4,Schlachthilfe,13
20,0x59041A,Mono,4
21,0x590450,Stereo,6
22,0x590486,Breit,5
23,0x5904BC,Normal,6
24,0x5904F2,Benutzerdefiniert,17
25,0x590528,Anfang,6
26,0x59055E,Speicher,8
27,0x590594,Aktiv,5
28,0x5905CA,Empfohlen,9
29,0x590600,Warten,6
30,0x590636,Auto,4
31,0x59066C,Fest,4
33,0x5906D8,Langs.,6
34,0x59070E,Schn.,5
35,0x590744,ROT,3
36,0x59077A,GRUN,4
37,0x5907B0,BLAU,4
38,0x5907E6,Zauberfolge,11
39,0x59081C,Heilung,7
40,0x590852,Angriff,7
41,0x590888,Indirekt,8
42,0x5908BE,Verboten,8
43,0x5908F4,Typ,3
44,0x59092A,links2,6
45,0x590960,rechts2,7
46,0x590996,links1,6
47,0x5909CC,rechts1,7
48,0x590A02,Menu,4
49,0x590A38,Auswahlen,9
50,0x590A6E,Abbrechen,9
51,0x590AA4,EXT,3
52,0x590ADA,Hilfe,5
53,0x590B10,Zum Einrichten START drucken.,29
54,0x590B46,Zum Beenden Richtungstaste Links oder Rechts drucken.,53
55,0x590B7C,Pause,5
59,0x590BD0,Ton- und Musikeinstellung,25
60,0x590BFD,Nicht unterstutzt,17
62,0x590C68,Objekt,6
63,0x590C7C,Zauber,6
64,0x590C90,Materia,7
65,0x590CA4,Ausrusten,9
66,0x590CB8,Werte,5
