# FF7 German Menu Strings (Clean)
# Total: 544 strings
# Format: [INDEX] OFFSET | TEXT
================================================================================

[000] 0x58FBB0 | Mochten Sie Final
[001] 0x58FBCE | Fantasy VII verlassen und
[002] 0x58FBEC | zu Windows zuruckkehren?
[003] 0x58FC10 | Ja
[004] 0x58FC15 | Nein
[006] 0x590126 | Sound
[007] 0x59015C | Kontroller
[008] 0x590192 | Cursor
[009] 0x5901C8 | ATB
[010] 0x5901FE | Kampftempo
[011] 0x590234 | Kampfmeldung
[012] 0x59026A | Feldmeldung
[013] 0x5902A0 | Kamerawinkel
[014] 0x5902D6 | Auswahlen
[015] 0x59030C | Abbrechen
[016] 0x590342 | Menu
[017] 0x590378 | Fenster AUS
[018] 0x5903AE | Pause
[019] 0x5903E4 | Schlachthilfe
[020] 0x59041A | Mono
[021] 0x590450 | Stereo
[022] 0x590486 | Breit
[023] 0x5904BC | Normal
[024] 0x5904F2 | Benutzerdefiniert
[025] 0x590528 | Anfang
[026] 0x59055E | Speicher
[027] 0x590594 | Aktiv
[028] 0x5905CA | Empfohlen
[029] 0x590600 | Warten
[030] 0x590636 | Auto
[031] 0x59066C | Fest
[033] 0x5906D8 | Langs.
[034] 0x59070E | Schn.
[035] 0x590744 | ROT
[036] 0x59077A | GRUN
[037] 0x5907B0 | BLAU
[038] 0x5907E6 | Zauberfolge
[039] 0x59081C | Heilung
[040] 0x590852 | Angriff
[041] 0x590888 | Indirekt
[042] 0x5908BE | Verboten
[043] 0x5908F4 | Typ
[044] 0x59092A | links2
[045] 0x590960 | rechts2
[046] 0x590996 | links1
[047] 0x5909CC | rechts1
[048] 0x590A02 | Menu
[049] 0x590A38 | Auswahlen
[050] 0x590A6E | Abbrechen
[051] 0x590AA4 | EXT
[052] 0x590ADA | Hilfe
[053] 0x590B10 | Zum Einrichten START drucken.
[054] 0x590B46 | Zum Beenden Richtungstaste Links oder Rechts drucken.
[055] 0x590B7C | Pause
[059] 0x590BD0 | Ton- und Musikeinstellung
[060] 0x590BFD | Nicht unterstutzt
[062] 0x590C68 | Objekt
[063] 0x590C7C | Zauber
[064] 0x590C90 | Materia
[065] 0x590CA4 | Ausrusten
[066] 0x590CB8 | Werte
[067] 0x590CCC | Reihe
[068] 0x590CE0 | Limit
[069] 0x590CF4 | Konfig
[070] 0x590D08 | PHS
[071] 0x590D1C | Speichern
[072] 0x590D30 | Verlassen
[073] 0x590D44 | Anfanger
[074] 0x590D58 | Verwendung
[075] 0x590D6C | Verwendung
[076] 0x590D80 | Zeit
[077] 0x590D94 | Gil
[078] 0x590DA8 | Nachst. Lv
[079] 0x590DBC | Limit-Stufe
[080] 0x590DD0 | Anleitung
[081] 0x590DE4 | Unter
[082] 0x590DF8 | LV+1
[083] 0x590E0C | Zorn
[084] 0x590E20 | Traurigk.
