index,offset,bytes,high_byte_ratio
778,0x5981E8,8,75.00%
779,0x5981F1,8,87.50%
780,0x5981FE,5,100.00%
781,0x598208,8,87.50%
782,0x598211,8,87.50%
783,0x59821D,7,100.00%
784,0x598228,8,75.00%
785,0x598231,8,87.50%
786,0x59823C,9,100.00%
787,0x598248,17,52.94%
788,0x59825B,11,81.82%
789,0x598268,17,47.06%
790,0x59827A,12,75.00%
791,0x598289,15,60.00%
792,0x59829A,13,69.23%
793,0x5982A9,15,60.00%
794,0x5982B9,14,71.43%
795,0x5982C9,15,66.67%
796,0x5982D9,15,80.00%
797,0x5982EA,13,69.23%
798,0x5982F9,15,60.00%
799,0x59830A,13,76.92%
800,0x598319,15,73.33%
801,0x59832B,11,90.91%
802,0x598338,17,64.71%
803,0x59834B,11,90.91%
804,0x598358,17,76.47%
805,0x59836C,9,100.00%
806,0x598378,17,88.24%
807,0x59838D,7,100.00%
808,0x598398,8,87.50%
809,0x5983A1,8,100.00%
810,0x5983AE,5,100.00%
811,0x5983B8,8,75.00%
812,0x5983C1,8,87.50%
813,0x5983D8,8,75.00%
814,0x5983E1,8,87.50%
815,0x5983F8,8,87.50%
816,0x598401,8,87.50%
817,0x59840E,5,100.00%
818,0x598418,8,75.00%
819,0x598421,8,87.50%
820,0x59842D,7,100.00%
821,0x598438,17,52.94%
822,0x59844C,9,100.00%
823,0x598458,17,47.06%
824,0x59846B,11,81.82%
825,0x598479,15,60.00%
826,0x59848A,12,75.00%
827,0x598499,15,60.00%
828,0x5984AA,13,69.23%
829,0x5984B9,15,66.67%
830,0x5984C9,14,71.43%
831,0x5984DA,13,69.23%
832,0x5984E9,15,80.00%
833,0x5984FA,13,76.92%
834,0x598509,15,60.00%
835,0x59851B,11,90.91%
836,0x598529,15,73.33%
837,0x59853B,11,90.91%
838,0x598548,17,64.71%
839,0x59855C,9,100.00%
840,0x598568,17,76.47%
841,0x59857D,7,100.00%
842,0x598588,17,88.24%
843,0x59859E,5,100.00%
844,0x5985A8,8,87.50%
845,0x5985B1,8,100.00%
