index,offset,text
32,0x590671,
56,0x590B82,
57,0x590BBC,
58,0x590BC4,
86,0x590FDB,
87,0x590FE3,
113,0x594C3E,
116,0x594C92,a
126,0x594D21,a
127,0x594D2C,a
128,0x594D3A,a
131,0x594D68,a
132,0x594D72,a
136,0x594DAF,a
137,0x594DB8,a
142,0x594E07,a
143,0x594E0C,a
144,0x594E1A,a
145,0x594E28,a
146,0x594E36,a
185,0x595457,
186,0x59546E,
187,0x595472,
188,0x595476,
190,0x595514,/
207,0x5957A8,
208,0x5957B3,
209,0x5957C9,
227,0x595960,
242,0x595B75,
243,0x595B8E,
244,0x595B90,
610,0x596BD7,
625,0x596D2A,
626,0x596D38,
627,0x596D51,
668,0x59716D,
696,0x597456,
733,0x597915,
739,0x59799E,
965,0x59951E,
1031,0x599C05,A
1032,0x599C16,V
1050,0x599EDC,
1059,0x59A0BB,
1063,0x59C359,
1077,0x59C65C,01
1078,0x59C66B,02
1079,0x59C693,03
1080,0x59C6BB,04
1081,0x59C6E3,05
1082,0x59C70B,06
1083,0x59C733,07
1084,0x59C75B,08
1085,0x59C783,09
1086,0x59C7AB,10
1087,0x59C7D3,11
1088,0x59C7FB,12
1089,0x59C823,13
1090,0x59C84B,14
1091,0x59C873,15
1101,0x59CA09,
1102,0x59CA43,
1114,0x59CD86,
1115,0x59CD9D,
1118,0x59CE72,
1119,0x59CEA7,
1120,0x59CEE9,
1121,0x59CF2B,
1135,0x59D14C,
1141,0x59D299,u
1146,0x59DB5D,
1147,0x59DB75,
1148,0x59DBC9,
1149,0x59DBD9,
