index,offset,bytes,text
61,0x590C0F,86,"""S   S ""!    `!:   : `!  !"" ""!!"" ! """" !""!"
92,0x591126,41,[O.K.]
94,0x591190,55,[MENU]
99,0x5912B9,58,[ZIEL]
112,0x594C24,26,"0G#a * !        !""#%"
115,0x594C4E,68,"ss  Z!!\ i   XxPS <L\ x""  \   *   !     _    a"
147,0x594E44,96,$             `  `   Rro `hpx9IY     Wieviel willst du ausgeben?
151,0x594EC1,447,"""%$#!""$ !#%""$ %!!""$ ""!#%$ ""!%$""#""$#""!$ %""!#""$!""%  `   n @ n ` n    @  `      @ `"
155,0x5950B8,19,TOLL!!
189,0x59547A,151,"4      PS   ""   !   &   &   !   !       x   p  @   x    p  @    GWXWsiW:zWx""  \ "
192,0x595537,18,"$   #   ""   !"
228,0x595974,92,"!   S    j :     ""S   S S!!S!S m!PS S! m!]!    `!:   :    :  \  r   STUFE 1"
645,0x596F1E,103,"""!    `! a   `!R w u        PS     !PS     i PS       \      PS     W \ Waf."
669,0x59717B,107,"""PS   PS ""S    !i   !!! !  ]!    `!\   \ `!:   r  X     n  q   Feuer"
679,0x597273,5,Ja!
724,0x59776B,190,"""    ""S    !C!! $!C!   ""C! D  PS } : !i     5""S   S ""T !c $!!|!c @ !    `!i   i "
725,0x59782C,75,O    PS O w!!PS     o PS 8 e   \ 8   \     Z \ a   `!R w u  Zauber
740,0x5979A8,106,"""    ""S    ""2!!K  PS !K  PS !   S     `!r   r `!:   c `!  6 j \  6 g \    j : Ve"
776,0x597EAE,127,"%!a >!, )!Y   h 7!e f R a 7    a c v    !! &!   b a ) V ; = [ \ #!  ,!j +!    1"
777,0x597F2D,684,8 N i    E   • z E!° 5!@!i n q F!i       4 (! i Z x   B a       3  =!]  I!J!K!L!
933,0x598EB1,926,"!   &   !   ""   &   !   #   &   !   $   &   !   %   &   !   &   &   !   '   &   "
948,0x59933B,5,Ja!
1060,0x59A0BD,8092,! #     !!             4                                                        
1061,0x59C158,181,`?  `?  @n  @n  Z  !   !   !   !   !   !   !   !   !   !   !   #  !   !   !   ! 
1062,0x59C218,173,"!   x""  x""  %  x""  ""  %  +  +  n7  3  0G  %  `?  0G      @n  n7          HC  !  "
1064,0x59C360,262,"!S   S ""S   ~ !   M!""           U ""S !~    O u PS   S ""! ! t g!}  v   S ""~    ""S"
1075,0x59C5F8,36,/15
1134,0x59D0EA,92,"!)  m t!v L!S     ""  % j G  K  :     `!e +! e e   [!  c V C v r  m"
1138,0x59D1E1,136,oooo                  _ni•     aio             oei             oai             a
1140,0x59D273,38,"_      _($((($(( $,( $,("
1143,0x59D2B6,229,"-`Vc,9_      _#aPSn         !4 AM }J aJ aN       %aoaiR       ""0 Q oR J uR uR uR"
1144,0x59D39C,276,u^ ^ ^ ^ ^ ^ ^ ^ ^ ._ 3_ I_ N_ j_ z_ i_ ss_ _ _ _ _ _ _ .` B` b` g` a` U` ` ` ` 
1145,0x59D4B6,1703,u      0        4    =    :    ;    ?    3    A    .    -    /    0    %   PS > 
