index,raw_offset,text_offset,category,padding_bytes,total_bytes,text_preview
0,0x58FBB0,0x58FBB0,clean,0,19,Mochten Sie Final
1,0x58FBC3,0x58FBCE,clean,11,37,Fantasy VII verlassen und
2,0x58FBE8,0x58FBEC,clean,4,29,zu Windows zuruckkehren?
3,0x58FC05,0x58FC10,clean,11,14,Ja
4,0x58FC13,0x58FC15,clean,2,7,Nein
5,0x58FC1A,0x58FC22,asset,8,1251,@c  ^c              `      `  `a      `a  `a                     0  @a      0a  
6,0x5900FD,0x590126,clean,41,47,Sound
7,0x59012C,0x59015C,clean,48,59,Kontroller
8,0x590167,0x590192,clean,43,50,Cursor
9,0x590199,0x5901C8,clean,47,51,ATB
10,0x5901CC,0x5901FE,clean,50,61,Kampftempo
11,0x590209,0x590234,clean,43,56,Kampfmeldung
12,0x590241,0x59026A,clean,41,53,Feldmeldung
13,0x590276,0x5902A0,clean,42,55,Kamerawinkel
14,0x5902AD,0x5902D6,clean,41,51,Auswahlen
15,0x5902E0,0x59030C,clean,44,54,Abbrechen
16,0x590316,0x590342,clean,44,49,Menu
17,0x590347,0x590378,clean,49,61,Fenster AUS
18,0x590384,0x5903AE,clean,42,48,Pause
19,0x5903B4,0x5903E4,clean,48,62,Schlachthilfe
20,0x5903F2,0x59041A,clean,40,45,Mono
21,0x59041F,0x590450,clean,49,56,Stereo
22,0x590457,0x590486,clean,47,53,Breit
23,0x59048C,0x5904BC,clean,48,55,Normal
24,0x5904C3,0x5904F2,clean,47,65,Benutzerdefiniert
25,0x590504,0x590528,clean,36,43,Anfang
26,0x59052F,0x59055E,clean,47,56,Speicher
27,0x590567,0x590594,clean,45,51,Aktiv
28,0x59059A,0x5905CA,clean,48,58,Empfohlen
29,0x5905D4,0x590600,clean,44,51,Warten
30,0x590607,0x590636,clean,47,52,Auto
31,0x59063B,0x59066C,clean,49,54,Fest
32,0x590671,0x5906A2,empty,49,50,
33,0x5906A3,0x5906D8,clean,53,60,Langs.
34,0x5906DF,0x59070E,clean,47,53,Schn.
35,0x590714,0x590744,clean,48,52,ROT
36,0x590748,0x59077A,clean,50,55,GRUN
37,0x59077F,0x5907B0,clean,49,54,BLAU
38,0x5907B5,0x5907E6,clean,49,61,Zauberfolge
39,0x5907F2,0x59081C,clean,42,50,Heilung
40,0x590824,0x590852,clean,46,54,Angriff
41,0x59085A,0x590888,clean,46,55,Indirekt
42,0x590891,0x5908BE,clean,45,54,Verboten
43,0x5908C7,0x5908F4,clean,45,49,Typ
44,0x5908F8,0x59092A,clean,50,57,links2
45,0x590931,0x590960,clean,47,55,rechts2
46,0x590968,0x590996,clean,46,53,links1
47,0x59099D,0x5909CC,clean,47,55,rechts1
48,0x5909D4,0x590A02,clean,46,51,Menu
49,0x590A07,0x590A38,clean,49,59,Auswahlen
50,0x590A42,0x590A6E,clean,44,54,Abbrechen
51,0x590A78,0x590AA4,clean,44,48,EXT
52,0x590AA8,0x590ADA,clean,50,56,Hilfe
53,0x590AE0,0x590B10,clean,48,80,Zum Einrichten START drucken.
54,0x590B30,0x590B46,clean,22,76,Zum Beenden Richtungstaste Links oder Rechts drucken.
55,0x590B7C,0x590B7C,clean,0,6,Pause
56,0x590B82,0x590BB8,empty,54,58,
57,0x590BBC,0x590BBE,empty,2,8,
58,0x590BC4,0x590BC4,empty,0,5,
59,0x590BC9,0x590BD0,clean,7,33,Ton- und Musikeinstellung
60,0x590BEA,0x590BFD,clean,19,37,Nicht unterstutzt
61,0x590C0F,0x590C34,unknown,37,86,"""S   S ""!    `!:   : `!  !"" ""!!"" ! """" !""!"
62,0x590C68,0x590C68,clean,0,7,Objekt
63,0x590C6F,0x590C7C,clean,13,20,Zauber
64,0x590C83,0x590C90,clean,13,21,Materia
65,0x590C98,0x590CA4,clean,12,22,Ausrusten
66,0x590CAE,0x590CB8,clean,10,16,Werte
67,0x590CBE,0x590CCC,clean,14,20,Reihe
68,0x590CD2,0x590CE0,clean,14,20,Limit
69,0x590CE6,0x590CF4,clean,14,21,Konfig
70,0x590CFB,0x590D08,clean,13,17,PHS
71,0x590D0C,0x590D1C,clean,16,26,Speichern
72,0x590D26,0x590D30,clean,10,20,Verlassen
73,0x590D3A,0x590D44,clean,10,19,Anfanger
74,0x590D4D,0x590D58,clean,11,22,Verwendung
75,0x590D63,0x590D6C,clean,9,20,Verwendung
76,0x590D77,0x590D80,clean,9,14,Zeit
77,0x590D85,0x590D94,clean,15,19,Gil
78,0x590D98,0x590DA8,clean,16,27,Nachst. Lv
79,0x590DB3,0x590DBC,clean,9,21,Limit-Stufe
80,0x590DC8,0x590DD0,clean,8,18,Anleitung
81,0x590DDA,0x590DE4,clean,10,16,Unter
82,0x590DEA,0x590DF8,clean,14,19,LV+1
83,0x590DFD,0x590E0C,clean,15,20,Zorn
84,0x590E11,0x590E20,clean,15,25,Traurigk.
85,0x590E2A,0x590E34,clean,10,433,"!         n`=>ABCeKD@FGHtJfg<$_uva)?snPRSVXY[\]p/0%U^MZoh!""#y*+2,-.345671:8(W9&'"
86,0x590FDB,0x590FE0,empty,5,8,
87,0x590FE3,0x590FE8,empty,5,8,
88,0x590FEB,0x590FF0,developer,5,134,"!  cy         !   ""   $   %   &   '   (   t   start@of@menu@systemAAA*    end@of"
89,0x591071,0x591094,clean,35,65,Drucken Sie auf [O.K.] um die
90,0x5910B2,0x5910D0,clean,30,63,Tastenbelegung zu konfigurieren.
91,0x5910F1,0x59110C,clean,27,53,Bitte neue Taste drucken
92,0x591126,0x591148,unknown,34,41,[O.K.]
93,0x59114F,0x591184,clean,53,65,[ABBRECHEN]
94,0x591190,0x5911C0,unknown,48,55,[MENU]
95,0x5911C7,0x5911FC,clean,53,66,[UMSCHALTEN]
96,0x591209,0x591238,clean,47,59,[BILD HOCH]
97,0x591244,0x591274,clean,48,64,[BILD HERUNTER]
98,0x591284,0x5912B0,clean,44,53,[KAMERA]
99,0x5912B9,0x5912EC,unknown,51,58,[ZIEL]
100,0x5912F3,0x591328,clean,53,61,[HILFE]
101,0x591330,0x591364,clean,52,60,[START]
102,0x59136C,0x5913A0,clean,52,61,[HERAUF]
103,0x5913A9,0x5913DC,clean,51,59,[UNTEN]
104,0x5913E4,0x591418,clean,52,60,[LINKS]
105,0x591420,0x591454,clean,52,60,[RECHT]
106,0x59145C,0x591490,clean,52,61,TASTATUR
107,0x591499,0x5914CC,clean,51,60,JOYSTICK
108,0x5914D5,0x591508,developer,51,3328,PS@ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ @ $A 0A 4A 8A <A @A DA
