index,raw_offset,text_offset,text,padding_bytes,text_bytes,total_bytes,is_clean,first_50_hex
0,0x58FBB0,0x58FBB0,Möchten Sie Final,0,17,19,False,2d7a434854454e003349450026494e414c00ff
1,0x58FBC3,0x58FBCE,Fantasy VII verlassen und,11,25,37,True,000000000000000000000026414e5441535900362929005645524c415353454e00554e44ff
2,0x58FBE8,0x58FBEC,zu Windows zurückkehren?,4,24,29,True,000000005a550037494e444f5753005a55527f434b4b454852454e1fff
3,0x58FC05,0x58FC10,Ja,11,2,14,True,00000000000000000000002a41ff
4,0x58FC13,0x58FC15,Nein,2,4,7,True,00002e45494eff
5,0x58FC22,0x58FC22,@c  ^c              `      `  `a      `a  `a                     0  @a      0a  @a          _  `    ,0,1110,1243,True,204300003e43000000000000000000000000000040c100000000000040c10000404100000000000040410000404100000000
6,0x5900FD,0x590126,Sound,41,5,47,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000334f554e44ff
7,0x59012C,0x59015C,Kontroller,48,10,59,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002b4f
8,0x590167,0x590192,Cursor,43,6,50,True,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000235552534f52ff
9,0x590199,0x5901C8,ATB,47,3,51,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000213422
10,0x5901CC,0x5901FE,Kampftempo,50,10,61,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,0x590209,0x590234,Kampfmeldung,43,12,56,True,000000000000000000000000000000000000000000000000000000000000000000000000000000000000002b414d50464d45
12,0x590241,0x59026A,Feldmeldung,41,11,53,True,000000000000000000000000000000000000000000000000000000000000000000000000000000000026454c444d454c4455
13,0x590276,0x5902A0,Kamerawinkel,42,12,55,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000002b414d4552415749
14,0x5902AD,0x5902D6,Auswählen,41,9,51,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000215553576a484c454e
15,0x5902E0,0x59030C,Abbrechen,44,9,54,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214242524543
16,0x590316,0x590342,Menü,44,4,49,True,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d454e7fff
17,0x590347,0x590378,Fenster AUS,49,11,61,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026
18,0x590384,0x5903AE,Pause,42,5,48,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000003041555345ff
19,0x5903B4,0x5903E4,Schlachthilfe,48,13,62,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003343
20,0x5903F2,0x59041A,Mono,40,4,45,True,000000000000000000000000000000000000000000000000000000000000000000000000000000002d4f4e4fff
21,0x59041F,0x590450,Stereo,49,6,56,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000033
22,0x590457,0x590486,Breit,47,5,53,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000225245
23,0x59048C,0x5904BC,Normal,48,6,55,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002e4f
24,0x5904C3,0x5904F2,Benutzerdefiniert,47,17,65,True,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022454e
25,0x590504,0x590528,Anfang,36,6,43,True,000000000000000000000000000000000000000000000000000000000000000000000000214e46414e47ff
26,0x59052F,0x59055E,Speicher,47,8,56,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000335045
27,0x590567,0x590594,Aktiv,45,5,51,True,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214b544956
28,0x59059A,0x5905CA,Empfohlen,48,9,58,True,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000254d
29,0x5905D4,0x590600,Warten,44,6,51,True,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037415254454e
30,0x590607,0x590636,Auto,47,4,52,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000215554
31,0x59063B,0x59066C,Fest,49,4,54,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026
32,0x5906A3,0x5906D8,Langs.,53,6,60,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
33,0x5906DF,0x59070E,Schn.,47,5,53,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000334348
34,0x590714,0x590744,ROT,48,3,52,True,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000322f
35,0x590748,0x59077A,GRÜN,50,4,55,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
36,0x59077F,0x5907B0,BLAU,49,4,54,True,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022
