offset,filename
0x58FC1A,barre.tim
0x58FC1A,barre_l.tim
0x58FC1A,bins.tim
0x58FC1A,bins_l.tim
0x58FC1A,btl_win_a_h.tim
0x5921D8,btl_win_a_l.tim
0x58FC1A,btl_win_a_l.tim
0x58FC1A,btl_win_b_h.tim
0x58FC1A,btl_win_b_l.tim
0x5921D8,btl_win_b_l.tim
0x58FC1A,btl_win_c_h.tim
0x5921D8,btl_win_c_l.tim
0x58FC1A,btl_win_c_l.tim
0x58FC1A,btl_win_d_h.tim
0x58FC1A,btl_win_d_l.tim
0x5921D8,btl_win_d_l.tim
0x58FC1A,btl_win_h.tim
0x58FC1A,btl_win_l.tim
0x5921D8,btl_win_l.tim
0x58FC1A,buster.tim
0x58FC1A,choco.tim
0x58FC1A,choco_l.tim
0x58FC1A,cido.tim
0x58FC1A,cido_l.tim
0x58FC1A,cloud.tim
0x58FC1A,cloud_l.tim
0x5921D8,colo.tim
0x5921D8,coloa.tim
0x5921D8,colob.tim
0x5921D8,coloc.tim
0x58FC1A,earith.tim
0x58FC1A,earith_l.tim
0x58FC1A,ketc.tim
0x58FC1A,ketc_l.tim
0x5921D8,ketcy2.tim
0x5921D8,ketcy2a.tim
0x5921D8,ketcy2b.tim
0x58FC1A,pcefi.tim
0x58FC1A,pcefi_l.tim
0x58FC1A,pcloud.tim
0x58FC1A,pcloud_l.tim
0x58FC1A,red.tim
0x58FC1A,red_l.tim
0x58FC1A,tifa.tim
0x58FC1A,tifa_l.tim
0x58FC1A,usfont_a_h.tim
0x58FC1A,usfont_a_l.tim
0x5921D8,usfont_a_l.tim
0x58FC1A,usfont_b_h.tim
0x58FC1A,usfont_b_l.tim
0x5921D8,usfont_b_l.tim
0x58FC1A,usfont_h.tim
0x5921D8,usfont_l.tim
0x58FC1A,usfont_l.tim
0x58FC1A,yufi.tim
0x58FC1A,yufi_l.tim
0x5921D8,zeni.tim
0x5921D8,zeni_h.tim
