index,offset,text,length,confidence,encoding,reason
0,0x54A2A0,MEILLEUR,8,95,ASCII,snowboarding minigame
1,0x54A2B4,CONTINUER,9,95,ASCII,snowboarding minigame
2,0x54A2C0,RE(ESSAYER,10,95,ASCII,snowboarding minigame
3,0x54A2CC,QUITTER,7,95,ASCII,snowboarding minigame
4,0x54A2D4,OPTION,6,95,ASCII,snowboarding minigame
5,0x54A2DC,CONTINUER,9,95,ASCII,snowboarding minigame
6,0x54A2E8,RE(ESSAYER,10,95,ASCII,snowboarding minigame
7,0x54A2F4,QUITTER,7,95,ASCII,snowboarding minigame
8,0x54A2FC,FANTO*ME,8,95,ASCII,snowboarding minigame
9,0x54A308,SURFACE,7,95,ASCII,snowboarding minigame
10,0x54A310,DE(SACTIVE(,11,95,ASCII,snowboarding minigame
11,0x54A31C,SURF,4,95,ASCII,snowboarding minigame
12,0x54A324,TRAI*NEAU,9,95,ASCII,snowboarding minigame
13,0x54A338,NEIGE,5,95,ASCII,snowboarding minigame
14,0x54A340,ACTIVE(,7,95,ASCII,snowboarding minigame
15,0x54A348,RE(ESSAYER,10,95,ASCII,snowboarding minigame
16,0x54A354,QUITTER,7,95,ASCII,snowboarding minigame
17,0x54A364,TECHNIQUE,9,95,ASCII,snowboarding minigame
18,0x54A370,TEMPS,5,95,ASCII,snowboarding minigame
19,0x54A378,BALLON,6,95,ASCII,snowboarding minigame
20,0x54A380,TOTAL,5,95,ASCII,snowboarding minigame
21,0x54A388,MEILLEUR,8,95,ASCII,snowboarding minigame
22,0x54A3CC,1ER.,4,95,ASCII,snowboarding minigame
23,0x54A3D4,2E)M.,5,95,ASCII,snowboarding minigame
24,0x54A3DC,3E)M.,5,95,ASCII,snowboarding minigame
25,0x54A3E4,4E)M.,5,95,ASCII,snowboarding minigame
26,0x54A3EC,5E)M.,5,95,ASCII,snowboarding minigame
27,0x56FDD8,TEIOH,5,95,FF7,battle items
28,0x56FF12,Contre-attaque,14,95,FF7,battle items
29,0x56FF24,Opposition Magie,16,95,FF7,battle items
30,0x56FF36,Montre prâcieuse,16,95,FF7,battle items
31,0x56FF48,Clochette de chat,17,95,FF7,battle items
32,0x56FF5A,Repousse-ennemi,15,95,FF7,battle items
33,0x56FF6C,Attaque Furtive,15,95,FF7,battle items
34,0x56FF7E,Chocobracelet,13,95,FF7,battle items
35,0x56FF90,Ether,5,95,FF7,battle items
36,0x56FFA2,Elixir,6,95,FF7,battle items
37,0x56FFB4,Boisson de hâros,16,95,FF7,battle items
38,0x56FFC6,Plume d'âclair,14,95,FF7,battle items
39,0x56FFD8,Dent de feu,11,95,FF7,battle items
40,0x56FFEA,Vent antarctique,16,95,FF7,battle items
41,0x56FFFC,Eclair furtif,13,95,FF7,battle items
42,0x57000E,Voile de feu,12,95,FF7,battle items
43,0x570020,Cristal de glace,16,95,FF7,battle items
44,0x570032,Mâgalixir,9,95,FF7,battle items
45,0x570044,Ether turbo,11,95,FF7,battle items
46,0x570056,Potion,6,95,FF7,battle items
47,0x570068,Queue de Phânix,15,95,FF7,battle items
48,0x57007A,Hyper,5,95,FF7,battle items
49,0x57008C,Calmant,7,95,FF7,battle items
50,0x57009E,Super potion,12,95,FF7,battle items
51,0x5701C2,BLUES,5,95,FF7,battle items
52,0x5701CC,TOM,3,95,FF7,battle items
53,0x5701D6,JEAN,4,95,FF7,battle items
54,0x5701E0,GÈRARD,6,95,FF7,battle items
55,0x5701EA,MICHEL,6,95,FF7,battle items
56,0x5701F4,SANDRA,6,95,FF7,battle items
57,0x570200,LIE,3,95,FF7,chocobo names
58,0x570208,JO,2,95,FF7,chocobo names
59,0x570212,ROBERT,6,95,FF7,chocobo names
60,0x57021C,EDWARD,6,95,FF7,chocobo names
61,0x570226,JACQUES,7,95,FF7,chocobo names
62,0x570230,ANDRÈ,5,95,FF7,chocobo names
63,0x57023A,FLORE,5,95,FF7,chocobo names
64,0x570244,PHILIPPE,8,95,FF7,chocobo names
65,0x57024E,DOMINIQUE,9,95,FF7,chocobo names
66,0x570258,JONATHAN,8,95,FF7,chocobo names
67,0x570262,MARGOT,6,95,FF7,chocobo names
68,0x57026C,LAURE,5,95,FF7,chocobo names
69,0x570276,MATTHIAS,8,95,FF7,chocobo names
70,0x570280,JUNIOR,6,95,FF7,chocobo names
71,0x57028A,DAMIEN,6,95,FF7,chocobo names
72,0x570294,CARL,4,95,FF7,chocobo names
73,0x57029E,SARAH,5,95,FF7,chocobo names
74,0x5702A8,MARIE,5,95,FF7,chocobo names
75,0x5702B2,FLORENCE,8,95,FF7,chocobo names
76,0x5702BC,LÈA,3,95,FF7,chocobo names
77,0x5702C6,BONAPARTE,9,95,FF7,chocobo names
78,0x5702D0,PAUL,4,95,FF7,chocobo names
79,0x5702DA,PAULINE,7,95,FF7,chocobo names
80,0x5702E4,SOPHIE,6,95,FF7,chocobo names
81,0x5702EE,AIMÈE,5,95,FF7,chocobo names
82,0x5702F8,ANNE,4,95,FF7,chocobo names
83,0x570302,KEVIN,5,95,FF7,chocobo names
84,0x57030C,BARBARA,7,95,FF7,chocobo names
85,0x570316,MIMI,4,95,FF7,chocobo names
86,0x570320,BOB,3,95,FF7,chocobo names
87,0x57032A,GEORGES,7,95,FF7,chocobo names
88,0x570334,CLAIRE,6,95,FF7,chocobo names
89,0x57033E,FRANÇOIS,8,95,FF7,chocobo names
90,0x590046,Final Fantasy VII et,20,95,FF7,menu strings
91,0x590064,retourner sous Windows ?,24,95,FF7,menu strings
92,0x590088,Oui,3,95,FF7,menu strings
93,0x59008C,Non,3,95,FF7,menu strings
94,0x5905A4,Son,3,95,FF7,menu strings
95,0x5905E8,AUTRE,5,95,FF7,menu strings
96,0x59062C,Curseur,7,95,FF7,menu strings
97,0x590670,CTA,3,95,FF7,menu strings
98,0x5906B4,Vitesse de combat,17,95,FF7,menu strings
99,0x5906F8,Message de combat,17,95,FF7,menu strings
100,0x59073C,Message de terrain,18,95,FF7,menu strings
101,0x590780,Angle de vue,12,95,FF7,menu strings
102,0x5907C4,Select,6,95,FF7,menu strings
103,0x590808,Annuler,7,95,FF7,menu strings
104,0x59084C,Menu,4,95,FF7,menu strings
105,0x590890,Fenètre dâsactivâe,18,95,FF7,menu strings
106,0x5908D4,Pause,5,95,FF7,menu strings
107,0x590918,Aide au combat,14,95,FF7,menu strings
108,0x59095C,Mono,4,95,FF7,menu strings
109,0x5909E4,Etendu,6,95,FF7,menu strings
110,0x590A28,Normal,6,95,FF7,menu strings
111,0x590A6C,Personnaliser,13,95,FF7,menu strings
112,0x590AB0,Origine,7,95,FF7,menu strings
113,0x590AF4,Mâmoire,7,95,FF7,menu strings
114,0x590B38,Actif,5,95,FF7,menu strings
115,0x590B7C,Recommandâ,10,95,FF7,menu strings
116,0x590BC0,Attente,7,95,FF7,menu strings
117,0x590C04,Auto,4,95,FF7,menu strings
118,0x590C48,Fixe,4,95,FF7,menu strings
119,0x590CD0,Lent,4,95,FF7,menu strings
120,0x590D14,Vite,4,95,FF7,menu strings
121,0x590D58,ROUGE,5,95,FF7,menu strings
122,0x590D9C,VERT,4,95,FF7,menu strings
123,0x590DE0,BLEU,4,95,FF7,menu strings
124,0x590E24,Ordre de magie,14,95,FF7,menu strings
125,0x590E68,Restaur,7,95,FF7,menu strings
126,0x590EAC,Attaque,7,95,FF7,menu strings
127,0x590EF0,Indir.,6,95,FF7,menu strings
128,0x590F34,Interdit,8,95,FF7,menu strings
129,0x590F78,No.,3,95,FF7,menu strings
130,0x590FBC,Gauche2,7,95,FF7,menu strings
131,0x591000,Droite2,7,95,FF7,menu strings
132,0x591044,Gauche1,7,95,FF7,menu strings
133,0x591088,Droite1,7,95,FF7,menu strings
134,0x5910CC,Menu,4,95,FF7,menu strings
135,0x591110,OK,2,95,FF7,menu strings
136,0x591154,Annuler,7,95,FF7,menu strings
137,0x591198,AUTRE,5,95,FF7,menu strings
138,0x5911DC,Aide,4,95,FF7,menu strings
139,0x591220,Appuie sur  START pour personnaliser.,37,95,FF7,menu strings
140,0x5912A8,Pause,5,95,FF7,menu strings
141,0x591308,Configurer Volume sonore et musical,35,95,FF7,menu strings
142,0x591335,Non supportâ.,13,95,FF7,menu strings
143,0x5913A0,Elâment,7,95,FF7,menu strings
144,0x5913B4,Magie,5,95,FF7,menu strings
145,0x5913C8,Materia,7,95,FF7,menu strings
146,0x5913DC,Equiper,7,95,FF7,menu strings
147,0x5913F0,Etat,4,95,FF7,menu strings
148,0x591404,Placer,6,95,FF7,menu strings
149,0x591418,Limite,6,95,FF7,menu strings
150,0x59142C,Config,6,95,FF7,menu strings
151,0x591440,PHS,3,95,FF7,menu strings
152,0x591454,Enregistrer,11,95,FF7,menu strings
153,0x591468,Quitter,7,95,FF7,menu strings
154,0x59147C,Dâbutant,8,95,FF7,menu strings
155,0x591490,Uso,3,95,FF7,menu strings
156,0x5914A4,Uso,3,95,FF7,menu strings
157,0x5914B8,Tps,3,95,FF7,menu strings
158,0x5914CC,Gils,4,95,FF7,menu strings
159,0x5914E0,NV suiv.,8,95,FF7,menu strings
160,0x5914F4,Limites,7,95,FF7,menu strings
161,0x591508,Comment jouer,13,95,FF7,menu strings
162,0x59151C,Sous,4,95,FF7,menu strings
163,0x591544,Fureur,6,95,FF7,menu strings
164,0x591558,Triste,6,95,FF7,menu strings
165,0x5921B0,AUCUN,5,95,ASCII,keyboard keys
166,0x5921B8,ECHAPPE,7,95,ASCII,keyboard keys
167,0x5921F0,RETOUR ARRIERE,14,95,ASCII,keyboard keys
168,0x592200,TAB,3,95,ASCII,keyboard keys
169,0x592234,ENTREE,6,95,ASCII,keyboard keys
170,0x59223C,CTRL GAUCHE,11,95,ASCII,keyboard keys
171,0x592274,TOUCHE CARRE,12,95,ASCII,keyboard keys
172,0x592284,MAJ. GAUCHE,11,95,ASCII,keyboard keys
173,0x5922BC,MAJ. DROITE,11,95,ASCII,keyboard keys
174,0x5922C8,MULTIPLIER,10,95,ASCII,keyboard keys
175,0x5922D4,ALT GAUCHE,10,95,ASCII,keyboard keys
176,0x5922E0,ESPACE,6,95,ASCII,keyboard keys
177,0x5922E8,VERR. MAJ,9,95,ASCII,keyboard keys
178,0x5922F4,F1,2,95,ASCII,keyboard keys
179,0x5922F8,F2,2,95,ASCII,keyboard keys
180,0x5922FC,F3,2,95,ASCII,keyboard keys
181,0x592300,F4,2,95,ASCII,keyboard keys
182,0x592304,F5,2,95,ASCII,keyboard keys
183,0x592308,F6,2,95,ASCII,keyboard keys
184,0x59230C,F7,2,95,ASCII,keyboard keys
185,0x592310,F8,2,95,ASCII,keyboard keys
186,0x592314,F9,2,95,ASCII,keyboard keys
187,0x59231C,VERR. NUM,9,95,ASCII,keyboard keys
188,0x592328,DEFIL.,6,95,ASCII,keyboard keys
189,0x592330,7 PAVE NUM.,11,95,ASCII,keyboard keys
190,0x59233C,8 PAVE NUM.,11,95,ASCII,keyboard keys
191,0x592348,9 PAVE NUM.,11,95,ASCII,keyboard keys
192,0x592354,MOINS PAVE NUM.,15,95,ASCII,keyboard keys
193,0x592364,4 PAVE NUM.,11,95,ASCII,keyboard keys
194,0x592370,5 PAVE NUM.,11,95,ASCII,keyboard keys
195,0x59237C,6 PAVE NUM.,11,95,ASCII,keyboard keys
196,0x592388,PLUS PAVE NUM.,14,95,ASCII,keyboard keys
197,0x592398,1 PAVE NUM.,11,95,ASCII,keyboard keys
198,0x5923A4,2 PAVE NUM.,11,95,ASCII,keyboard keys
199,0x5923B0,3 PAVE NUM.,11,95,ASCII,keyboard keys
200,0x5923BC,0 PAVE NUM.,11,95,ASCII,keyboard keys
201,0x5923C8,POINT PAVE NUM.,15,95,ASCII,keyboard keys
202,0x5923D8,AUCUN,5,95,ASCII,keyboard keys
203,0x5923E0,AUCUN,5,95,ASCII,keyboard keys
204,0x5923E8,AUCUN,5,95,ASCII,keyboard keys
205,0x5923F8,AUCUN,5,95,ASCII,keyboard keys
206,0x592400,AUCUN,5,95,ASCII,keyboard keys
207,0x592408,AUCUN,5,95,ASCII,keyboard keys
208,0x592410,AUCUN,5,95,ASCII,keyboard keys
209,0x592418,AUCUN,5,95,ASCII,keyboard keys
210,0x592420,AUCUN,5,95,ASCII,keyboard keys
