index,offset,text,length,confidence,reason
J000,0x592120,ES,2,95,joystick button - plain ASCII encoding
J001,0x592124,KEINES,6,95,joystick button - plain ASCII encoding
J002,0x59212C,KEINES,6,95,joystick button - plain ASCII encoding
J003,0x592134,BUTTON 1,8,95,joystick button - plain ASCII encoding
J004,0x592140,BUTTON 2,8,95,joystick button - plain ASCII encoding
J005,0x59214C,BUTTON 3,8,95,joystick button - plain ASCII encoding
J006,0x592158,BUTTON 4,8,95,joystick button - plain ASCII encoding
J007,0x592164,BUTTON 5,8,95,joystick button - plain ASCII encoding
J008,0x592170,BUTTON 6,8,95,joystick button - plain ASCII encoding
J009,0x59217C,BUTTON 7,8,95,joystick button - plain ASCII encoding
J010,0x592188,BUTTON 8,8,95,joystick button - plain ASCII encoding
J011,0x592194,BUTTON 9,8,95,joystick button - plain ASCII encoding
J012,0x5921A0,BUTTON 10,9,95,joystick button - plain ASCII encoding
J013,0x5921AC,KEINES,6,95,joystick button - plain ASCII encoding
J014,0x5921B4,%sff7input.c,12,95,joystick button - plain ASCII encoding
