index,offset,text,length,confidence,reason
K000,0x591A78,KEINES,6,95,keyboard key - plain ASCII encoding
K001,0x591A80,ESC,3,95,keyboard key - plain ASCII encoding
K002,0x591A84,1,1,95,keyboard key - plain ASCII encoding
K003,0x591A88,2,1,95,keyboard key - plain ASCII encoding
K004,0x591A8C,3,1,95,keyboard key - plain ASCII encoding
K005,0x591A90,4,1,95,keyboard key - plain ASCII encoding
K006,0x591A94,5,1,95,keyboard key - plain ASCII encoding
K007,0x591A98,6,1,95,keyboard key - plain ASCII encoding
K008,0x591A9C,7,1,95,keyboard key - plain ASCII encoding
K009,0x591AA0,8,1,95,keyboard key - plain ASCII encoding
K010,0x591AA4,9,1,95,keyboard key - plain ASCII encoding
K011,0x591AA8,0,1,95,keyboard key - plain ASCII encoding
K012,0x591AAC,ß,1,95,keyboard key - plain ASCII encoding
K013,0x591AB0,APOSTROPHE,10,95,keyboard key - plain ASCII encoding
K014,0x591ABC,RÜCKTASTE,9,95,keyboard key - plain ASCII encoding
K015,0x591AC8,TAB,3,95,keyboard key - plain ASCII encoding
K016,0x591ACC,Q,1,95,keyboard key - plain ASCII encoding
K017,0x591AD0,W,1,95,keyboard key - plain ASCII encoding
K018,0x591AD4,E,1,95,keyboard key - plain ASCII encoding
K019,0x591AD8,R,1,95,keyboard key - plain ASCII encoding
K020,0x591ADC,T,1,95,keyboard key - plain ASCII encoding
K021,0x591AE0,Z,1,95,keyboard key - plain ASCII encoding
K022,0x591AE4,U,1,95,keyboard key - plain ASCII encoding
K023,0x591AE8,I,1,95,keyboard key - plain ASCII encoding
K024,0x591AEC,O,1,95,keyboard key - plain ASCII encoding
K025,0x591AF0,P,1,95,keyboard key - plain ASCII encoding
K026,0x591AF4,Ü,1,95,keyboard key - plain ASCII encoding
K027,0x591AF8,+,1,95,keyboard key - plain ASCII encoding
K028,0x591AFC,EINGABE,7,95,keyboard key - plain ASCII encoding
K029,0x591B04,LINKE STRG,10,95,keyboard key - plain ASCII encoding
K030,0x591B10,A,1,95,keyboard key - plain ASCII encoding
K031,0x591B14,S,1,95,keyboard key - plain ASCII encoding
K032,0x591B18,D,1,95,keyboard key - plain ASCII encoding
K033,0x591B1C,F,1,95,keyboard key - plain ASCII encoding
K034,0x591B20,G,1,95,keyboard key - plain ASCII encoding
K035,0x591B24,H,1,95,keyboard key - plain ASCII encoding
K036,0x591B28,J,1,95,keyboard key - plain ASCII encoding
K037,0x591B2C,K,1,95,keyboard key - plain ASCII encoding
K038,0x591B30,L,1,95,keyboard key - plain ASCII encoding
K039,0x591B34,Ö,1,95,keyboard key - plain ASCII encoding
K040,0x591B38,Ä,1,95,keyboard key - plain ASCII encoding
K041,0x591B3C,^,1,95,keyboard key - plain ASCII encoding
K042,0x591B40,LINKER SHIFT,12,95,keyboard key - plain ASCII encoding
K043,0x591B50,#,1,95,keyboard key - plain ASCII encoding
K044,0x591B54,Y,1,95,keyboard key - plain ASCII encoding
K045,0x591B58,X,1,95,keyboard key - plain ASCII encoding
K046,0x591B5C,C,1,95,keyboard key - plain ASCII encoding
K047,0x591B60,V,1,95,keyboard key - plain ASCII encoding
K048,0x591B64,B,1,95,keyboard key - plain ASCII encoding
K049,0x591B68,N,1,95,keyboard key - plain ASCII encoding
K050,0x591B6C,M,1,95,keyboard key - plain ASCII encoding
