index,offset,text,length,confidence,reason
0,0x58FBB0,Möchten Sie Final,17,95,contains German indicator word
1,0x58FBCE,Fantasy VII verlassen und,25,95,contains German indicator word
2,0x58FBEC,zu Windows zurückkehren?,24,95,contains German indicator word
3,0x58FC10,Ja,2,85,"german_ratio=100.00%, ff7_valid=100.00%"
4,0x58FC15,Nein,4,85,"german_ratio=100.00%, ff7_valid=100.00%"
6,0x590126,Sound,5,85,"german_ratio=100.00%, ff7_valid=100.00%"
7,0x59015C,Kontroller,10,95,contains German indicator word
8,0x590192,Cursor,6,95,contains German indicator word
9,0x5901C8,ATB,3,85,"german_ratio=100.00%, ff7_valid=100.00%"
10,0x5901FE,Kampftempo,10,95,contains German indicator word
11,0x590234,Kampfmeldung,12,95,contains German indicator word
12,0x59026A,Feldmeldung,11,85,"german_ratio=100.00%, ff7_valid=100.00%"
13,0x5902A0,Kamerawinkel,12,95,contains German indicator word
14,0x5902D6,Auswählen,9,95,contains German indicator word
15,0x59030C,Abbrechen,9,85,"german_ratio=100.00%, ff7_valid=100.00%"
16,0x590342,Menü,4,85,"german_ratio=100.00%, ff7_valid=100.00%"
17,0x590378,Fenster AUS,11,95,contains German indicator word
18,0x5903AE,Pause,5,85,"german_ratio=100.00%, ff7_valid=100.00%"
19,0x5903E4,Schlachthilfe,13,85,"german_ratio=100.00%, ff7_valid=100.00%"
20,0x59041A,Mono,4,85,"german_ratio=100.00%, ff7_valid=100.00%"
21,0x590450,Stereo,6,85,"german_ratio=100.00%, ff7_valid=100.00%"
22,0x590486,Breit,5,85,"german_ratio=100.00%, ff7_valid=100.00%"
23,0x5904BC,Normal,6,85,"german_ratio=100.00%, ff7_valid=100.00%"
24,0x5904F2,Benutzerdefiniert,17,85,"german_ratio=100.00%, ff7_valid=100.00%"
25,0x590528,Anfang,6,85,"german_ratio=100.00%, ff7_valid=100.00%"
26,0x59055E,Speicher,8,95,contains German indicator word
27,0x590594,Aktiv,5,85,"german_ratio=100.00%, ff7_valid=100.00%"
28,0x5905CA,Empfohlen,9,85,"german_ratio=100.00%, ff7_valid=100.00%"
29,0x590600,Warten,6,85,"german_ratio=100.00%, ff7_valid=100.00%"
30,0x590636,Auto,4,85,"german_ratio=100.00%, ff7_valid=100.00%"
31,0x59066C,Fest,4,85,"german_ratio=100.00%, ff7_valid=100.00%"
33,0x5906D8,Langs.,6,85,"german_ratio=83.33%, ff7_valid=100.00%"
34,0x59070E,Schn.,5,85,"german_ratio=80.00%, ff7_valid=100.00%"
35,0x590744,ROT,3,85,"german_ratio=100.00%, ff7_valid=100.00%"
36,0x59077A,GRÜN,4,85,"german_ratio=100.00%, ff7_valid=100.00%"
37,0x5907B0,BLAU,4,85,"german_ratio=100.00%, ff7_valid=100.00%"
38,0x5907E6,Zauberfolge,11,95,contains German indicator word
39,0x59081C,Heilung,7,85,"german_ratio=100.00%, ff7_valid=100.00%"
40,0x590852,Angriff,7,95,contains German indicator word
41,0x590888,Indirekt,8,85,"german_ratio=100.00%, ff7_valid=100.00%"
42,0x5908BE,Verboten,8,85,"german_ratio=100.00%, ff7_valid=100.00%"
43,0x5908F4,Typ,3,85,"german_ratio=100.00%, ff7_valid=100.00%"
44,0x59092A,links2,6,85,"german_ratio=83.33%, ff7_valid=100.00%"
45,0x590960,rechts2,7,85,"german_ratio=85.71%, ff7_valid=100.00%"
46,0x590996,links1,6,85,"german_ratio=83.33%, ff7_valid=100.00%"
47,0x5909CC,rechts1,7,85,"german_ratio=85.71%, ff7_valid=100.00%"
48,0x590A02,Menü,4,85,"german_ratio=100.00%, ff7_valid=100.00%"
49,0x590A38,Auswählen,9,95,contains German indicator word
50,0x590A6E,Abbrechen,9,85,"german_ratio=100.00%, ff7_valid=100.00%"
51,0x590AA4,EXT,3,85,"german_ratio=100.00%, ff7_valid=100.00%"
52,0x590ADA,Hilfe,5,95,contains German indicator word
53,0x590B10,Zum Einrichten START drücken.,29,95,contains German indicator word
54,0x590B46,Zum Beenden Richtungstaste Links oder Rechts drücken.,53,95,contains German indicator word
55,0x590B7C,Pause,5,85,"german_ratio=100.00%, ff7_valid=100.00%"
59,0x590BD0,Ton- und Musikeinstellung,25,85,"german_ratio=88.00%, ff7_valid=100.00%"
60,0x590BFD,Nicht unterstützt,17,95,contains German indicator word
62,0x590C68,Objekt,6,95,contains German indicator word
63,0x590C7C,Zauber,6,95,contains German indicator word
64,0x590C90,Materia,7,95,contains German indicator word
65,0x590CA4,Ausrüsten,9,95,contains German indicator word
66,0x590CB8,Werte,5,95,contains German indicator word
67,0x590CCC,Reihe,5,95,contains German indicator word
68,0x590CE0,Limit,5,95,contains German indicator word
69,0x590CF4,Konfig,6,95,contains German indicator word
70,0x590D08,PHS,3,85,"german_ratio=100.00%, ff7_valid=100.00%"
71,0x590D1C,Speichern,9,95,contains German indicator word
72,0x590D30,Verlassen,9,95,contains German indicator word
73,0x590D44,Anfänger,8,85,"german_ratio=100.00%, ff7_valid=100.00%"
74,0x590D58,Verwendung,10,85,"german_ratio=100.00%, ff7_valid=100.00%"
75,0x590D6C,Verwendung,10,85,"german_ratio=100.00%, ff7_valid=100.00%"
76,0x590D80,Zeit,4,85,"german_ratio=100.00%, ff7_valid=100.00%"
77,0x590D94,Gil,3,85,"german_ratio=100.00%, ff7_valid=100.00%"
78,0x590DA8,Nächst. Lv,10,85,"german_ratio=80.00%, ff7_valid=100.00%"
79,0x590DBC,Limit-Stufe,11,95,contains German indicator word
80,0x590DD0,Anleitung,9,85,"german_ratio=100.00%, ff7_valid=100.00%"
81,0x590DE4,Unter,5,85,"german_ratio=100.00%, ff7_valid=100.00%"
