# FF7 German Menu Strings - Clean Extraction v3
# Total: 529 verified strings
# Confidence threshold: 75%
# Format: [INDEX] OFFSET | TEXT
================================================================================

[0000] 0x58FBB0 | Möchten Sie Final
[0001] 0x58FBCE | Fantasy VII verlassen und
[0002] 0x58FBEC | zu Windows zurückkehren?
[0003] 0x58FC10 | Ja
[0004] 0x58FC15 | Nein
[0006] 0x590126 | Sound
[0007] 0x59015C | Kontroller
[0008] 0x590192 | Cursor
[0009] 0x5901C8 | ATB
[0010] 0x5901FE | Kampftempo
[0011] 0x590234 | Kampfmeldung
[0012] 0x59026A | Feldmeldung
[0013] 0x5902A0 | Kamerawinkel
[0014] 0x5902D6 | Auswählen
[0015] 0x59030C | Abbrechen
[0016] 0x590342 | Menü
[0017] 0x590378 | Fenster AUS
[0018] 0x5903AE | Pause
[0019] 0x5903E4 | Schlachthilfe
[0020] 0x59041A | Mono
[0021] 0x590450 | Stereo
[0022] 0x590486 | Breit
[0023] 0x5904BC | Normal
[0024] 0x5904F2 | Benutzerdefiniert
[0025] 0x590528 | Anfang
[0026] 0x59055E | Speicher
[0027] 0x590594 | Aktiv
[0028] 0x5905CA | Empfohlen
[0029] 0x590600 | Warten
[0030] 0x590636 | Auto
[0031] 0x59066C | Fest
[0033] 0x5906D8 | Langs.
[0034] 0x59070E | Schn.
[0035] 0x590744 | ROT
[0036] 0x59077A | GRÜN
[0037] 0x5907B0 | BLAU
[0038] 0x5907E6 | Zauberfolge
[0039] 0x59081C | Heilung
[0040] 0x590852 | Angriff
[0041] 0x590888 | Indirekt
[0042] 0x5908BE | Verboten
[0043] 0x5908F4 | Typ
[0044] 0x59092A | links2
[0045] 0x590960 | rechts2
[0046] 0x590996 | links1
[0047] 0x5909CC | rechts1
[0048] 0x590A02 | Menü
[0049] 0x590A38 | Auswählen
[0050] 0x590A6E | Abbrechen
[0051] 0x590AA4 | EXT
[0052] 0x590ADA | Hilfe
[0053] 0x590B10 | Zum Einrichten START drücken.
[0054] 0x590B46 | Zum Beenden Richtungstaste Links oder Rechts drücken.
[0055] 0x590B7C | Pause
[0059] 0x590BD0 | Ton- und Musikeinstellung
[0060] 0x590BFD | Nicht unterstützt
[0062] 0x590C68 | Objekt
[0063] 0x590C7C | Zauber
[0064] 0x590C90 | Materia
[0065] 0x590CA4 | Ausrüsten
[0066] 0x590CB8 | Werte
[0067] 0x590CCC | Reihe
[0068] 0x590CE0 | Limit
[0069] 0x590CF4 | Konfig
[0070] 0x590D08 | PHS
[0071] 0x590D1C | Speichern
[0072] 0x590D30 | Verlassen
[0073] 0x590D44 | Anfänger
[0074] 0x590D58 | Verwendung
[0075] 0x590D6C | Verwendung
[0076] 0x590D80 | Zeit
