index,offset,text,length,confidence,encoding,reason
0,0x549B28,"REKORD, RUNDE A",15,95,ASCII,snowboarding minigame - ASCII encoding
1,0x549EB8,BESTER,6,95,ASCII,snowboarding minigame - ASCII encoding
2,0x549EC8,WEITER,6,95,ASCII,snowboarding minigame - ASCII encoding
3,0x549ED0,WIEDERH.,8,95,ASCII,snowboarding minigame - ASCII encoding
4,0x549EDC,BEENDEN,7,95,ASCII,snowboarding minigame - ASCII encoding
5,0x549EE4,OPTION,6,95,ASCII,snowboarding minigame - ASCII encoding
6,0x549EEC,WEITER,6,95,ASCII,snowboarding minigame - ASCII encoding
7,0x549EF4,WIEDERH.,8,95,ASCII,snowboarding minigame - ASCII encoding
8,0x549F00,BEENDEN,7,95,ASCII,snowboarding minigame - ASCII encoding
9,0x549F08,GEIST,5,95,ASCII,snowboarding minigame - ASCII encoding
10,0x549F10,OBERFLA+CHE,11,95,ASCII,snowboarding minigame - ASCII encoding
11,0x549F1C,AUS,3,95,ASCII,snowboarding minigame - ASCII encoding
12,0x549F20,BOARD,5,95,ASCII,snowboarding minigame - ASCII encoding
13,0x549F28,SCHLITTEN,9,95,ASCII,snowboarding minigame - ASCII encoding
14,0x549F3C,SCHNEE,6,95,ASCII,snowboarding minigame - ASCII encoding
15,0x549F44,GEPRU+FT,8,95,ASCII,snowboarding minigame - ASCII encoding
16,0x549F50,WIEDERH.,8,95,ASCII,snowboarding minigame - ASCII encoding
17,0x549F5C,BEENDEN,7,95,ASCII,snowboarding minigame - ASCII encoding
18,0x549F6C,TECHNIK,7,95,ASCII,snowboarding minigame - ASCII encoding
19,0x549F74,ZEIT,4,95,ASCII,snowboarding minigame - ASCII encoding
20,0x549F7C,BALLON,6,95,ASCII,snowboarding minigame - ASCII encoding
21,0x549F84,GESAMT,6,95,ASCII,snowboarding minigame - ASCII encoding
22,0x549F8C,BESTER,6,95,ASCII,snowboarding minigame - ASCII encoding
23,0x549F94,/30 PTS.,8,95,ASCII,snowboarding minigame - ASCII encoding
24,0x549FAC,/40 PTS.,8,95,ASCII,snowboarding minigame - ASCII encoding
25,0x549FB8,/# PTS.,7,95,ASCII,snowboarding minigame - ASCII encoding
26,0x549FCC,1.,2,95,ASCII,snowboarding position - ASCII encoding
27,0x549FD0,2.,2,95,ASCII,snowboarding position - ASCII encoding
28,0x549FD4,3.,2,95,ASCII,snowboarding position - ASCII encoding
29,0x549FD8,4.,2,95,ASCII,snowboarding position - ASCII encoding
30,0x549FDC,5.,2,95,ASCII,snowboarding position - ASCII encoding
31,0x56F9C0,TEIOH,5,95,FF7,battle item/prize - FF7 encoding
32,0x56FAF9,Gegenangriff,12,95,FF7,battle item/prize - FF7 encoding
33,0x56FB0A,Zauberangriff,13,95,FF7,battle item/prize - FF7 encoding
