index,offset,text,length,confidence,encoding,reason
0,0x54A498,MA(XIMA,7,95,ASCII,snowboarding minigame
1,0x54A4A8,CONTINUAR,9,95,ASCII,snowboarding minigame
2,0x54A4B4,REINTENTAR,10,95,ASCII,snowboarding minigame
3,0x54A4C0,SALIR,5,95,ASCII,snowboarding minigame
4,0x54A4C8,OPCIO(N,7,95,ASCII,snowboarding minigame
5,0x54A4D0,CONTINUAR,9,95,ASCII,snowboarding minigame
6,0x54A4DC,REINTENTAR,10,95,ASCII,snowboarding minigame
7,0x54A4E8,SALIR,5,95,ASCII,snowboarding minigame
8,0x54A4F0,FANTASMA,8,95,ASCII,snowboarding minigame
9,0x54A4FC,SUPERFICIE,10,95,ASCII,snowboarding minigame
10,0x54A508,FUERA,5,95,ASCII,snowboarding minigame
11,0x54A510,DEL,3,95,ASCII,snowboarding minigame
12,0x54A514,TRINEO,6,95,ASCII,snowboarding minigame
13,0x54A524,NIEVE,5,95,ASCII,snowboarding minigame
14,0x54A52C,VERIFICADA,10,95,ASCII,snowboarding minigame
15,0x54A538,REINTENTAR,10,95,ASCII,snowboarding minigame
16,0x54A544,SALIR,5,95,ASCII,snowboarding minigame
17,0x54A554,TE(CNICA,8,95,ASCII,snowboarding minigame
18,0x54A560,TIEMPO,6,95,ASCII,snowboarding minigame
19,0x54A568,GLOBO,5,95,ASCII,snowboarding minigame
20,0x54A570,TOTAL,5,95,ASCII,snowboarding minigame
21,0x54A578,MA(XIMA,7,95,ASCII,snowboarding minigame
22,0x54A5B8,1RO.,4,95,ASCII,snowboarding minigame
23,0x54A5C0,2DO.,4,95,ASCII,snowboarding minigame
24,0x54A5C8,3RO.,4,95,ASCII,snowboarding minigame
25,0x54A5D0,4TO.,4,95,ASCII,snowboarding minigame
26,0x54A5D8,5TO.,4,95,ASCII,snowboarding minigame
27,0x56FFC0,TEIOH,5,95,FF7,battle items
28,0x5700F9,Contraataque,12,95,FF7,battle items
29,0x57010A,Oposicin mágica,15,95,FF7,battle items
30,0x57011B,Reloj precioso,14,95,FF7,battle items
31,0x57012C,Cascabel,8,95,FF7,battle items
32,0x57013D,Enemigo alejado,15,95,FF7,battle items
