index,raw_offset,text_offset,category,confidence,padding,total_bytes,text_preview,reason
0,0x58FBB0,0x58FBB0,clean_text,95,0,18,Möchten Sie Final,contains German indicator word
1,0x58FBC3,0x58FBCE,clean_text,95,11,36,Fantasy VII verlassen und,contains German indicator word
2,0x58FBE8,0x58FBEC,clean_text,95,4,28,zu Windows zurückkehren?,contains German indicator word
3,0x58FC05,0x58FC10,clean_text,85,11,13,Ja,"german_ratio=100.00%, ff7_valid=100.00%"
4,0x58FC13,0x58FC15,clean_text,85,2,6,Nein,"german_ratio=100.00%, ff7_valid=100.00%"
5,0x58FC1A,0x58FC22,asset,100,8,1250,@c  ^c              `      `  `a      `a  `a                ,contains .tim extension
6,0x5900FD,0x590126,clean_text,85,41,46,Sound,"german_ratio=100.00%, ff7_valid=100.00%"
7,0x59012C,0x59015C,clean_text,95,48,58,Kontroller,contains German indicator word
8,0x590167,0x590192,clean_text,95,43,49,Cursor,contains German indicator word
9,0x590199,0x5901C8,clean_text,85,47,50,ATB,"german_ratio=100.00%, ff7_valid=100.00%"
10,0x5901CC,0x5901FE,clean_text,95,50,60,Kampftempo,contains German indicator word
11,0x590209,0x590234,clean_text,95,43,55,Kampfmeldung,contains German indicator word
12,0x590241,0x59026A,clean_text,85,41,52,Feldmeldung,"german_ratio=100.00%, ff7_valid=100.00%"
13,0x590276,0x5902A0,clean_text,95,42,54,Kamerawinkel,contains German indicator word
14,0x5902AD,0x5902D6,clean_text,95,41,50,Auswählen,contains German indicator word
15,0x5902E0,0x59030C,clean_text,85,44,53,Abbrechen,"german_ratio=100.00%, ff7_valid=100.00%"
16,0x590316,0x590342,clean_text,85,44,48,Menü,"german_ratio=100.00%, ff7_valid=100.00%"
17,0x590347,0x590378,clean_text,95,49,60,Fenster AUS,contains German indicator word
18,0x590384,0x5903AE,clean_text,85,42,47,Pause,"german_ratio=100.00%, ff7_valid=100.00%"
19,0x5903B4,0x5903E4,clean_text,85,48,61,Schlachthilfe,"german_ratio=100.00%, ff7_valid=100.00%"
20,0x5903F2,0x59041A,clean_text,85,40,44,Mono,"german_ratio=100.00%, ff7_valid=100.00%"
21,0x59041F,0x590450,clean_text,85,49,55,Stereo,"german_ratio=100.00%, ff7_valid=100.00%"
22,0x590457,0x590486,clean_text,85,47,52,Breit,"german_ratio=100.00%, ff7_valid=100.00%"
23,0x59048C,0x5904BC,clean_text,85,48,54,Normal,"german_ratio=100.00%, ff7_valid=100.00%"
24,0x5904C3,0x5904F2,clean_text,85,47,64,Benutzerdefiniert,"german_ratio=100.00%, ff7_valid=100.00%"
25,0x590504,0x590528,clean_text,85,36,42,Anfang,"german_ratio=100.00%, ff7_valid=100.00%"
26,0x59052F,0x59055E,clean_text,95,47,55,Speicher,contains German indicator word
27,0x590567,0x590594,clean_text,85,45,50,Aktiv,"german_ratio=100.00%, ff7_valid=100.00%"
28,0x59059A,0x5905CA,clean_text,85,48,57,Empfohlen,"german_ratio=100.00%, ff7_valid=100.00%"
29,0x5905D4,0x590600,clean_text,85,44,50,Warten,"german_ratio=100.00%, ff7_valid=100.00%"
30,0x590607,0x590636,clean_text,85,47,51,Auto,"german_ratio=100.00%, ff7_valid=100.00%"
31,0x59063B,0x59066C,clean_text,85,49,53,Fest,"german_ratio=100.00%, ff7_valid=100.00%"
32,0x590671,0x5906A2,fragment,80,49,49,,too short for menu text
33,0x5906A3,0x5906D8,clean_text,85,53,59,Langs.,"german_ratio=83.33%, ff7_valid=100.00%"
34,0x5906DF,0x59070E,clean_text,85,47,52,Schn.,"german_ratio=80.00%, ff7_valid=100.00%"
35,0x590714,0x590744,clean_text,85,48,51,ROT,"german_ratio=100.00%, ff7_valid=100.00%"
36,0x590748,0x59077A,clean_text,85,50,54,GRÜN,"german_ratio=100.00%, ff7_valid=100.00%"
37,0x59077F,0x5907B0,clean_text,85,49,53,BLAU,"german_ratio=100.00%, ff7_valid=100.00%"
38,0x5907B5,0x5907E6,clean_text,95,49,60,Zauberfolge,contains German indicator word
